geoname,year,prediction
Ohio,2013,0.051261141
Wisconsin,2001,0.045595212
Ohio,2015,0.03857795
Michigan,2003,0.052744105
Illinois,2004,0.04250834
Ohio,2011,0.051362076
Indiana,2007,0.041050381
Wisconsin,2007,0.049382126
Indiana,2005,0.041817828
Illinois,2009,0.054659539
Michigan,2011,0.062263506
Wisconsin,2003,0.048326921
Ohio,2006,0.041270577
Illinois,2016,0.045237914
Illinois,2014,0.053670298
Ohio,2011,0.051362076
Illinois,2000,0.030468656
Michigan,2010,0.065595934
Illinois,2009,0.054659539
Wisconsin,2013,0.057716771
Michigan,2017,0.054270238
Illinois,2003,0.041638504
Illinois,2007,0.042706871
Wisconsin,2009,0.058742019
Illinois,2017,0.044675086
Illinois,2001,0.034085531
Michigan,2006,0.053198308
Ohio,2007,0.042829567
Indiana,2002,0.037710359
Michigan,2003,0.052744105
Illinois,2003,0.041638504
Ohio,2003,0.041378378
Wisconsin,2006,0.048131558
Michigan,2016,0.052337553
Indiana,2008,0.04849477
Wisconsin,2000,0.04058429
Indiana,2005,0.041817828
Indiana,2009,0.055581665
Michigan,2013,0.060613289
Illinois,2011,0.055096642
Indiana,2004,0.041195614
Indiana,2000,0.03176245
Michigan,2011,0.062263506
Wisconsin,2011,0.058359507
Indiana,2014,0.050349318
Indiana,2016,0.045561297
Indiana,2012,0.052005908
Michigan,2008,0.059471332
Illinois,2010,0.055128372
Indiana,2013,0.055021537
Illinois,2012,0.052848545
Ohio,2004,0.041329168
Illinois,2015,0.051914448
Ohio,2000,0.035498037
Wisconsin,2015,0.053403363
Wisconsin,2010,0.058844603
Ohio,2016,0.03472295
Illinois,2006,0.03959643
Wisconsin,2018,0.047102519
Indiana,2001,0.034747447
Michigan,2018,0.053862485
Michigan,2009,0.068396218
Michigan,2001,0.050292456
Illinois,2005,0.041536934
Wisconsin,2012,0.056719038
Michigan,2014,0.058441993
Michigan,2005,0.052885987
Wisconsin,2014,0.054940835
Wisconsin,2005,0.047191307
Michigan,2019,0.052814228
Ohio,2009,0.052014841
Wisconsin,2017,0.047750587
Wisconsin,2002,0.047889526
Ohio,2010,0.053390856
Wisconsin,2016,0.047600001
Ohio,2001,0.037758796
Illinois,2015,0.051914448
Ohio,2017,0.039235054
Wisconsin,2003,0.048326921
Indiana,2013,0.055021537
Indiana,2010,0.05322119
Ohio,2007,0.042829567
Ohio,2018,0.039803117
Michigan,2012,0.059600421
Michigan,2015,0.05784823
Wisconsin,2004,0.04732348
Indiana,2003,0.039292884
Indiana,2006,0.042976237
Michigan,2004,0.053315147
Indiana,2011,0.052516715
Ohio,2008,0.046921409
Indiana,2015,0.049778849
Indiana,2017,0.043832616
Ohio,2005,0.041679132
Illinois,2013,0.057636164
Illinois,2018,0.044029257
Ohio,2019,0.034686494
Michigan,2000,0.047532616
Indiana,2003,0.039292884
Ohio,2014,0.044923294
Michigan,2002,0.051715817
Ohio,2002,0.038817424
Ohio,2012,0.049628689
Delaware,2016,0.050807154
New Jersey,2008,0.046333328
Massachusetts,2001,0.047820276
New Jersey,2015,0.04439042
Massachusetts,2004,0.046118751
Pennsylvania,2002,0.050148211
Massachusetts,2014,0.041455319
Maryland,2013,0.03966169
New York,2006,0.048517393
New York,2007,0.04699585
Delaware,2001,0.046433979
New Jersey,2003,0.046288833
Pennsylvania,2003,0.050276461
Maryland,2001,0.048090754
Delaware,2014,0.043943884
Delaware,2005,0.046010792
Delaware,2013,0.043920146
Delaware,2004,0.045393349
New Jersey,2012,0.04353001
Pennsylvania,2011,0.045014814
Pennsylvania,2001,0.05121396
Massachusetts,2003,0.045416697
New York,2010,0.042215206
New Jersey,2002,0.047291269
Massachusetts,2009,0.041952378
Maryland,2009,0.040338542
New Jersey,2014,0.044304393
New Jersey,2002,0.047291269
New York,2008,0.045978978
Massachusetts,2001,0.047820276
Maryland,2003,0.046078979
Delaware,2008,0.043448747
Pennsylvania,2014,0.042323517
Massachusetts,2008,0.044025558
New Jersey,2002,0.047291269
Pennsylvania,2004,0.05117434
Pennsylvania,2012,0.043824723
Massachusetts,2012,0.04169341
Pennsylvania,2006,0.051160935
Delaware,2003,0.046816881
Pennsylvania,2011,0.045014814
New Jersey,2006,0.048752005
New York,2008,0.045978978
Massachusetts,2000,0.050823536
Pennsylvania,2008,0.047743094
Maryland,2000,0.050898471
Pennsylvania,2013,0.042802922
New York,2009,0.043350385
New York,2002,0.048401648
New York,2000,0.051619563
New York,2001,0.050372061
Massachusetts,2005,0.045919411
Maryland,2006,0.044593386
New Jersey,2004,0.048067903
Maryland,2005,0.045000446
Maryland,2007,0.043822708
Delaware,2000,0.047022166
Delaware,2009,0.041949243
New York,2007,0.04699585
Delaware,2017,0.051615551
Maryland,2002,0.046496739
Delaware,2001,0.046433979
Massachusetts,2007,0.044283414
New Jersey,2010,0.043860159
Maryland,2012,0.039832504
Maryland,2007,0.043822708
New York,2003,0.048077272
Massachusetts,2002,0.046692636
Massachusetts,2010,0.041132164
New Jersey,2018,0.053092661
Pennsylvania,2000,0.053443226
New Jersey,2017,0.053215557
Pennsylvania,2007,0.048714725
Massachusetts,2007,0.044283414
New Jersey,2001,0.048467401
New York,2004,0.048199548
New York,2005,0.048391189
New Jersey,2001,0.048467401
Maryland,2014,0.040431594
Massachusetts,2003,0.045416697
Pennsylvania,2010,0.044812546
Maryland,2015,0.041046483
Maryland,2010,0.039329758
Massachusetts,2006,0.045422143
New Jersey,2013,0.04380055
Maryland,2008,0.043134487
Massachusetts,2015,0.041536176
Pennsylvania,2003,0.050276461
Massachusetts,2013,0.041274207
New Jersey,2011,0.044424001
New Jersey,2002,0.047291269
Delaware,2010,0.041725474
Maryland,2011,0.039756954
New Jersey,2016,0.050732956
Maryland,2004,0.045770753
Maryland,2003,0.046078979
New Jersey,2010,0.043860159
Massachusetts,2011,0.041679777
Pennsylvania,2015,0.042124104
Delaware,2007,0.045049874
Pennsylvania,2005,0.051049204
Delaware,2006,0.045906523
Pennsylvania,2009,0.045381055
New Jersey,2009,0.044345401
Delaware,2009,0.041949243
New Jersey,2007,0.047257482
New Jersey,2000,0.051035683
New York,2011,0.042564412
Delaware,2002,0.046575637
Pennsylvania,2001,0.05121396
Connecticut,2007,0.036460489
Maine,2010,0.038260375
New Hampshire,2010,0.013251756
New Hampshire,2004,0.009328594
Vermont,2000,0.055470407
Maine,2011,0.038368459
Maine,2017,0.041142027
New Hampshire,2007,0.017663887
Maine,2005,0.040775021
New Hampshire,2006,0.013833592
New Hampshire,2011,0.011393623
Rhode Island,2012,0.022929417
Maine,2006,0.04165573
Rhode Island,2009,0.027215091
New Hampshire,2002,0.011478968
New Hampshire,2013,0.01087132
Vermont,2007,0.057909868
Rhode Island,2008,0.015508039
New Hampshire,2016,0.011457698
Rhode Island,2000,0.030755788
Rhode Island,2005,0.025165869
Maine,2009,0.039902423
Rhode Island,2007,0.024971295
Vermont,2015,0.047951011
Connecticut,2011,0.030297922
Rhode Island,2006,0.022175977
Connecticut,2012,0.029286091
Maine,2003,0.041550041
Maine,2004,0.041488862
New Hampshire,2015,0.007600282
Maine,2011,0.038368459
Maine,2001,0.045428063
Rhode Island,2004,0.025063209
Maine,2002,0.042812168
Vermont,2011,0.056455531
New Hampshire,2014,0.011416432
Vermont,2011,0.056455531
Rhode Island,2001,0.027953376
Connecticut,2001,0.033048475
Rhode Island,2011,0.019463295
Connecticut,2019,0.022776912
Vermont,2017,0.044299383
Rhode Island,2003,0.026033132
Maine,2008,0.03769957
Vermont,2003,0.073069219
Vermont,2008,0.05078516
Vermont,2010,0.062706935
Connecticut,2004,0.03344739
Maine,2007,0.039079892
New Hampshire,2012,0.014643319
Connecticut,2003,0.028988709
Rhode Island,2010,0.022527959
Maine,2013,0.038339719
Rhode Island,2011,0.019463295
Vermont,2012,0.054563152
Connecticut,2011,0.030297922
New Hampshire,2017,0.006226844
Vermont,2002,0.0689164
Connecticut,2008,0.024305246
Maine,2019,0.035027008
Connecticut,2016,0.03004442
Connecticut,2015,0.019229964
New Hampshire,2013,0.01087132
Rhode Island,2002,0.029196415
Maine,2015,0.033092461
Maine,2016,0.036473203
New Hampshire,2009,0.014896126
Vermont,2003,0.073069219
New Hampshire,2005,0.009007619
New Hampshire,2000,0.005106671
New Hampshire,2005,0.009007619
New Hampshire,2003,0.01153435
Connecticut,2005,0.033243917
New Hampshire,2017,0.006226844
Connecticut,2014,0.022675757
Rhode Island,2013,0.021284759
Vermont,2016,0.05963945
New Hampshire,2003,0.01153435
Vermont,2013,0.055509703
Rhode Island,2003,0.026033132
Vermont,2014,0.061206187
Maine,2014,0.034390431
Vermont,2004,0.054206241
Vermont,2005,0.06348626
Maine,2012,0.039741573
Maine,2000,0.044709853
Vermont,2001,0.067080685
New Hampshire,2008,0.008733041
Rhode Island,2014,0.026099466
Connecticut,2018,0.027665637
Vermont,2009,0.069966394
Connecticut,2013,0.025120094
Vermont,2006,0.062214944
Connecticut,2006,0.035886756
Connecticut,2015,0.019229964
Connecticut,2000,0.037010278
Connecticut,2004,0.03344739
New Hampshire,2001,0.005990662
Connecticut,2009,0.036904971
Connecticut,2017,0.036573934
Maine,2018,0.037504841
Connecticut,2010,0.034476774
Maine,2003,0.041550041
Connecticut,2002,0.027662401
Missouri,2017,0.057204916
Nebraska,2007,0.047857225
Kansas,2003,0.046706369
Missouri,2001,0.032416451
Missouri,2009,0.041262478
Missouri,2018,0.064008852
South Dakota,2003,0.020381365
Missouri,2013,0.047547531
Missouri,2017,0.057204916
Missouri,2000,0.03547746
Kansas,2010,0.05240677
Missouri,2000,0.03547746
Missouri,2003,0.039566309
Kansas,2013,0.051331122
Kansas,2006,0.054081163
South Dakota,2008,0.039404891
Nebraska,2004,0.037579645
Kansas,2012,0.059336939
Nebraska,2012,0.055362412
Nebraska,2006,0.046390724
Missouri,2015,0.062672957
Minnesota,2000,0.055223208
Missouri,2010,0.04190734
Minnesota,2005,0.060127159
South Dakota,2018,0.057875588
South Dakota,2013,0.04809971
South Dakota,2012,0.044005886
South Dakota,2009,0.02738428
Minnesota,2017,0.08496687
Minnesota,2003,0.055640455
Nebraska,2015,0.064351398
Minnesota,2014,0.084107177
Kansas,2003,0.046706369
North Dakota,2001,0.048615577
Minnesota,2011,0.070591623
Minnesota,2019,0.098816588
Iowa,2016,0.055974906
Minnesota,2010,0.062737516
Iowa,2010,0.050494646
South Dakota,2005,0.030674572
Missouri,2005,0.041487653
North Dakota,2000,0.047022011
North Dakota,2005,0.057524976
North Dakota,2003,0.046059332
Nebraska,2014,0.060366881
North Dakota,2000,0.047022011
South Dakota,2003,0.020381365
Missouri,2007,0.043790299
Minnesota,2003,0.055640455
Kansas,2005,0.047132333
Iowa,2013,0.062089985
Nebraska,2008,0.050643103
North Dakota,2006,0.057999928
Nebraska,2003,0.034038885
Iowa,2000,0.039709954
South Dakota,2006,0.037138278
South Dakota,2014,0.052164583
Missouri,2004,0.037262708
Missouri,2008,0.041928355
Minnesota,2015,0.08654501
North Dakota,2007,0.06475493
South Dakota,2019,0.06413982
Iowa,2007,0.047647146
Kansas,2008,0.054261711
South Dakota,2015,0.055937325
Nebraska,2002,0.035824744
North Dakota,2010,0.083013481
Nebraska,2011,0.054372769
Missouri,2011,0.042922695
Nebraska,2001,0.037737276
Iowa,2001,0.041634125
Iowa,2011,0.04956433
North Dakota,2009,0.069815509
North Dakota,2002,0.043701719
North Dakota,2008,0.066451252
Minnesota,2012,0.075283511
Kansas,2007,0.058403566
Kansas,2011,0.054386072
South Dakota,2002,0.025787899
Kansas,2009,0.047663301
Kansas,2019,0.084667466
Kansas,2014,0.06061967
Kansas,2015,0.061740907
Kansas,2016,0.060354445
Kansas,2011,0.054386072
Kansas,2001,0.045416179
Kansas,2004,0.046652806
Minnesota,2001,0.050990339
Nebraska,2009,0.043163616
Nebraska,2010,0.049082384
Iowa,2004,0.040451962
Iowa,2006,0.050502689
Missouri,2001,0.032416451
Missouri,2009,0.041262478
Iowa,2008,0.05263972
Iowa,2014,0.06126087
Iowa,2015,0.065511853
Iowa,2007,0.047647146
South Dakota,2016,0.056484543
Kansas,2000,0.045347875
North Dakota,2004,0.053031717
Nebraska,2005,0.043751322
Iowa,2002,0.038550583
Kansas,2015,0.061740907
Minnesota,2009,0.062771829
Missouri,2012,0.050815484
Kansas,2009,0.047663301
South Dakota,2004,0.025413388
South Dakota,2001,0.028965785
Minnesota,2016,0.08228196
Missouri,2014,0.059030259
Minnesota,2011,0.070591623
Iowa,2005,0.044724921
South Dakota,2007,0.037310138
Minnesota,2002,0.055653149
Minnesota,2013,0.079496324
Minnesota,2004,0.062170962
Minnesota,2008,0.063244686
South Dakota,2010,0.034918488
Iowa,2012,0.055791068
Minnesota,2006,0.064453886
Minnesota,2007,0.066458582
Missouri,2005,0.041487653
Kansas,2018,0.071766259
Kansas,2017,0.062797571
Missouri,2006,0.041283392
Iowa,2011,0.04956433
Minnesota,2018,0.088592883
Iowa,2003,0.039222754
Missouri,2002,0.035839869
Iowa,2017,0.062241469
South Dakota,2011,0.034865309
South Dakota,2017,0.055499075
Nebraska,2013,0.059762782
Kansas,2018,0.071766259
Missouri,2016,0.054187923
South Dakota,2011,0.034865309
South Dakota,2000,0.028427623
Nebraska,2005,0.043751322
Iowa,2009,0.050052286
Nebraska,2000,0.034744151
Kansas,2002,0.045174256
Montana,2005,0.058531233
Wyoming,2015,0.06632728
Idaho,2015,0.062206636
Idaho,2013,0.060038035
Utah,2005,0.046315378
Idaho,2006,0.057125039
Utah,2002,0.046770989
Colorado,2011,0.043712805
Montana,2009,0.063532892
Montana,2004,0.056452425
Idaho,2014,0.061431466
Montana,2011,0.064680935
Idaho,2007,0.056670527
Wyoming,2006,0.065493034
Idaho,2005,0.056568868
Idaho,2019,0.057427733
Wyoming,2011,0.069413862
Idaho,2012,0.0581277
Idaho,2002,0.055328195
Colorado,2004,0.03797314
Wyoming,2002,0.057341671
Colorado,2015,0.048903593
Colorado,2007,0.039224269
Colorado,2005,0.038940731
Wyoming,2018,0.055568966
Idaho,2008,0.056560206
Colorado,2009,0.040541615
Utah,2008,0.048253504
Montana,2003,0.056647338
Colorado,2000,0.030310291
Colorado,2015,0.048903593
Wyoming,2003,0.058541744
Utah,2004,0.046127136
Colorado,2003,0.035754329
Montana,2008,0.061778575
Idaho,2004,0.054497939
Utah,2003,0.046151917
Idaho,2001,0.054870829
Colorado,2006,0.040578662
Montana,2001,0.055889538
Colorado,2008,0.040016397
Wyoming,2005,0.063648228
Idaho,2000,0.052053283
Wyoming,2014,0.067697243
Montana,2013,0.065459256
Idaho,2010,0.057275333
Colorado,2010,0.041497908
Wyoming,2009,0.067445623
Colorado,2013,0.045597187
Wyoming,2010,0.067568835
Idaho,2016,0.058262089
Montana,2005,0.058531233
Idaho,2006,0.057125039
Idaho,2018,0.058006264
Wyoming,2013,0.068301781
Idaho,2003,0.054226024
Idaho,2011,0.057867941
Wyoming,2004,0.059591132
Wyoming,2011,0.069413862
Montana,2002,0.05646318
Wyoming,2012,0.067869171
Utah,2000,0.04227861
Utah,2003,0.046151917
Montana,2007,0.06116034
Montana,2010,0.063294897
Idaho,2007,0.056670527
Colorado,2012,0.045324339
Montana,2006,0.059707391
Colorado,2017,0.047508336
Colorado,2019,0.042185288
Wyoming,2008,0.067668063
Idaho,2017,0.058287577
Colorado,2001,0.034872767
Montana,2012,0.065112901
Wyoming,2000,0.054273107
Wyoming,2007,0.066542157
Wyoming,2016,0.059054877
Montana,2001,0.055889538
Colorado,2016,0.0421672
Montana,2000,0.054993736
Utah,2006,0.048060481
Idaho,2009,0.05743565
Colorado,2007,0.039224269
Colorado,2014,0.047294597
Colorado,2018,0.044972111
Utah,2009,0.046387585
Wyoming,2001,0.055035721
Colorado,2011,0.043712805
Colorado,2002,0.034413216
Utah,2005,0.046315378
Utah,2001,0.04712967
Wyoming,2017,0.058154703
Wyoming,2003,0.058541744
Wyoming,2019,0.056352942
Utah,2007,0.048841634
West Virginia,2005,0.073765439
North Carolina,2009,0.01770238
Arkansas,2011,0.057562639
Alabama,2004,0.053287089
Mississippi,2012,0.059493731
Florida,2002,0.064205122
Georgia,2015,0.036141684
Mississippi,2018,0.051024351
Louisiana,2010,0.048125711
Kentucky,2009,0.059225131
Kentucky,2006,0.052888365
Virginia,2010,0.040443109
Arkansas,2014,0.066591705
North Carolina,2004,0.017002423
Georgia,2006,0.045863172
West Virginia,2006,0.071920047
West Virginia,2010,0.067928584
Mississippi,2000,0.080267754
Virginia,2010,0.040443109
West Virginia,2001,0.07729335
Mississippi,2005,0.076434286
Arkansas,2000,0.079513607
Arkansas,2015,0.064657278
Kentucky,2017,0.027397803
Florida,2016,0.024477811
Virginia,2004,0.056992279
Alabama,2003,0.056257987
Florida,2007,0.047060063
Virginia,2016,0.023958941
Florida,2014,0.034280561
Virginia,2014,0.033735775
Alabama,2017,0.031363461
Kentucky,2011,0.050096763
South Carolina,2012,0.040236595
Kentucky,2010,0.053355639
South Carolina,2017,0.026491285
Virginia,2011,0.037872081
Virginia,2014,0.033735775
Florida,2017,0.022193271
Louisiana,2007,0.050582185
Tennessee,2011,0.044337252
South Carolina,2001,0.057800121
North Carolina,2006,0.008623032
Louisiana,2013,0.053747113
North Carolina,2013,0.018093508
Mississippi,2006,0.068376394
South Carolina,2005,0.048074341
South Carolina,2013,0.040700487
South Carolina,2011,0.037347149
North Carolina,2010,0.018919715
North Carolina,2002,0.020453875
Florida,2011,0.046526826
South Carolina,2000,0.059862431
Georgia,2001,0.050378198
Tennessee,2000,0.061359196
Alabama,2015,0.046507035
Tennessee,2017,0.022251582
Florida,2015,0.031950157
South Carolina,2003,0.049914917
South Carolina,2014,0.037394142
Georgia,2015,0.036141684
Tennessee,2010,0.046500088
Florida,2018,0.017532836
North Carolina,2016,-0.003014961
Virginia,2013,0.035748079
Georgia,2003,0.050752446
Florida,2001,0.065395251
Arkansas,2007,0.069513694
Alabama,2005,0.05127581
Mississippi,2008,0.067722033
Mississippi,2003,0.077202475
North Carolina,2014,0.01702368
Tennessee,2012,0.043718785
Kentucky,2013,0.047036935
Georgia,2008,0.043917885
South Carolina,2010,0.040656815
Tennessee,2002,0.056553911
Georgia,2007,0.041362739
Georgia,2000,0.05414363
Mississippi,2004,0.080726816
Louisiana,2008,0.053814136
Virginia,2006,0.043769624
Florida,2003,0.062260896
North Carolina,2000,0.04378694
Tennessee,2019,0.018096581
North Carolina,2011,0.013111607
Alabama,2007,0.050696709
North Carolina,2001,0.02842556
Florida,2019,0.013613249
Virginia,2008,0.043770065
West Virginia,2016,0.046105816
Georgia,2019,0.010877283
Virginia,2002,0.05050926
Georgia,2004,0.052321099
Alabama,2009,0.059439853
Florida,2007,0.047060063
Georgia,2003,0.050752446
Kentucky,2019,0.021489157
Georgia,2017,0.016496301
South Carolina,2011,0.037347149
West Virginia,2004,0.076304194
South Carolina,2006,0.047280421
Kentucky,2005,0.05669345
Kentucky,2012,0.045892679
Tennessee,2009,0.050559721
Florida,2009,0.053450259
Arkansas,2012,0.067528016
Arkansas,2002,0.07822644
Virginia,2015,0.033638945
Alabama,2010,0.05689569
Virginia,2000,0.054231146
Mississippi,2019,0.047227711
Virginia,2006,0.043769624
Louisiana,2005,0.039967386
South Carolina,2016,0.026706524
Mississippi,2013,0.065543162
Florida,2013,0.040690082
North Carolina,1999,0.046844462
Florida,2004,0.06189205
Louisiana,2008,0.053814136
Virginia,2003,0.048490321
Tennessee,2015,0.041848068
Georgia,2011,0.041457799
Virginia,2001,0.048668626
North Carolina,2001,0.02842556
North Carolina,1998,0.054446119
Kentucky,2014,0.04201506
Kentucky,2002,0.060839505
Kentucky,2007,0.051123976
Alabama,2002,0.05883288
Louisiana,2004,0.046190541
Virginia,2017,0.021057118
Kentucky,2000,0.070677148
Arkansas,2005,0.074965832
Georgia,2011,0.041457799
Mississippi,2012,0.059493731
Mississippi,2016,0.046665723
Georgia,2002,0.051599855
Louisiana,2001,0.071453425
Louisiana,2000,0.068561152
Louisiana,2006,0.045304705
Georgia,2009,0.04385318
Louisiana,2015,0.042813519
Louisiana,2009,0.053654493
Florida,2006,0.051300272
Kentucky,2007,0.051123976
North Carolina,2003,0.017461158
Tennessee,2005,0.051676346
Florida,2000,0.070747166
North Carolina,2015,0.019068314
Georgia,2013,0.040964257
Arkansas,2010,0.067831229
Louisiana,2003,0.050636005
Arkansas,2013,0.071521677
Tennessee,2001,0.057890989
West Virginia,2000,0.076506336
Georgia,2018,0.014787465
Alabama,2012,0.047593966
Kentucky,2015,0.039415594
Arkansas,2004,0.0790427
North Carolina,2012,0.015956711
Tennessee,2011,0.044337252
Louisiana,2011,0.051629973
West Virginia,2008,0.070688436
Virginia,2009,0.043274977
Tennessee,2016,0.025978421
Arkansas,2009,0.073127403
Kentucky,2004,0.058655883
Mississippi,2016,0.046665723
South Carolina,2002,0.052333042
Arkansas,2003,0.078701624
South Carolina,2007,0.04184742
West Virginia,2017,0.04579718
Mississippi,2010,0.068650207
Virginia,2005,0.047100012
North Carolina,2013,0.018093508
Florida,2005,0.056517381
Georgia,2010,0.045321585
Arkansas,2001,0.082659538
Mississippi,2007,0.065233625
Kentucky,2008,0.05469156
Arkansas,2007,0.069513694
Georgia,2016,0.01921216
North Carolina,2008,0.010259282
Kentucky,2003,0.059038311
Alabama,2003,0.056257987
Kentucky,2016,0.029169592
Kentucky,2015,0.039415594
South Carolina,2009,0.042958665
Tennessee,2013,0.044002995
West Virginia,2015,0.055726584
Tennessee,2003,0.052324872
North Carolina,2005,0.010155858
Mississippi,2020,0.041991132
Mississippi,2017,0.051433452
West Virginia,2001,0.07729335
Tennessee,2004,0.050154523
South Carolina,2003,0.049914917
Kentucky,2001,0.064401295
Mississippi,2000,0.080267754
Kentucky,2003,0.059038311
Kentucky,2018,0.024589255
Florida,2012,0.042443972
Alabama,2011,0.052980961
Georgia,2012,0.041178555
Louisiana,2012,0.050915188
South Carolina,2004,0.052203536
South Carolina,2015,0.037696356
Louisiana,2002,0.060284057
Alabama,2001,0.066548513
Tennessee,2008,0.049151366
Georgia,2014,0.036179236
Louisiana,2004,0.046190541
Virginia,2012,0.035919904
West Virginia,2007,0.070807207
Tennessee,2018,0.020126421
Alabama,2011,0.052980961
West Virginia,2003,0.076451995
West Virginia,2002,0.074119248
Tennessee,2007,0.047464271
Tennessee,2014,0.039954565
Virginia,2002,0.05050926
Louisiana,2016,0.030650837
North Carolina,2009,0.01770238
Louisiana,2014,0.047549257
Mississippi,2014,0.063235417
South Carolina,2008,0.043778451
Georgia,2005,0.048349035
Virginia,2018,0.016371904
Tennessee,2003,0.052324872
Arkansas,2006,0.073136699
Alabama,2013,0.050132615
Mississippi,2002,0.078440459
Florida,2008,0.051329505
West Virginia,2005,0.073765439
Florida,2010,0.05078665
Florida,2011,0.046526826
Alabama,2008,0.054645947
Florida,2015,0.031950157
Mississippi,2009,0.070454106
Mississippi,2011,0.062563587
Mississippi,2001,0.081287905
Virginia,2007,0.043443696
Mississippi,2004,0.080726816
Arkansas,2008,0.070967814
Alabama,2016,0.032113401
Alabama,2000,0.073130861
Mississippi,2015,0.062655489
North Carolina,2007,0.018401388
Alabama,2006,0.050836652
Alabama,2014,0.046850992
Tennessee,2006,0.050665512
West Virginia,2009,0.066985902
Oklahoma,2002,0.094038977
Texas,2006,0.067460666
Oklahoma,2012,0.082951273
New Mexico,2006,0.08774464
Texas,2009,0.068193487
New Mexico,2005,0.089999499
Oklahoma,2015,0.085121158
New Mexico,2012,0.087095387
Texas,2005,0.07012028
Texas,2000,0.074314157
Texas,2011,0.066215794
Arizona,2012,0.077402873
New Mexico,2018,0.097492479
Texas,2003,0.075343154
Arizona,2005,0.081161118
Arizona,2010,0.079713989
Texas,2013,0.065291202
Arizona,2008,0.077612857
Texas,2008,0.065838747
Arizona,2001,0.079560585
Arizona,2009,0.079024651
Texas,2004,0.070128531
Oklahoma,2008,0.078607869
Oklahoma,2003,0.090178996
Oklahoma,2010,0.086830948
Texas,2012,0.065805307
Arizona,2014,0.079847511
Oklahoma,2013,0.082114291
Arizona,2011,0.080346249
New Mexico,2019,0.095635293
New Mexico,2013,0.086591506
Arizona,2013,0.080146763
Arizona,2009,0.079024651
New Mexico,2014,0.089280956
Oklahoma,2009,0.080850851
Oklahoma,2019,0.087862956
Arizona,2007,0.077190265
Arizona,2003,0.077933871
New Mexico,2016,0.097831254
