geoname,,,AGRm,MINm,MANm,TandWm,INFm,FandIm,Rem,HSm,PIEPCm,TRADEm,PSTEm,MEHIm,unemployrate
Arizona,,,0.0283,0.0695,0.1339,0.0441,-0.0264,0.1637,-0.1438,0.0066,0.0599,-0.0208,-0.0088,0.202,0.633333333
Arizona,,,0.023,0.0659,0.0869,0.0131,-0.0237,0.0472,-0.0483,0.05,0.0891,0.1039,0.0576,0.192,-0.866666667
Arizona,,,-0.036,0.0004,0.1346,-0.0043,0.0064,0.1979,0.0605,0.0219,0.0681,0.0884,0.0135,-0.382,-1.083333333
Arizona,,,0.0358,-0.0254,-0.2426,-0.0167,0.0764,-0.0006,0.1937,0.0352,0.0776,-0.0546,-0.0089,-0.014,-0.533333333
Arizona,,,0.0044,0.0381,0.0844,0.0217,0.0603,-0.0725,0.0967,0.0502,0.1031,0.115,0.0237,0.603,-1.025
Arizona,,,0.0087,-0.1962,0.0223,-0.0038,0.0633,0.0405,0.1851,0.0944,0.0895,0.1095,0.0469,-0.253,-0.716666667
Arizona,,,0.07774,-0.06929,0.40663,0.25796,0.18207,0.65437,0.69262,0.42557,0.0864,0.45082,0.37897,0.327,-0.591666667
Arizona,,,-0.01895,0.04659,-0.05116,0.08259,0.08532,0.23903,0.18216,0.23047,0.1824,0.31709,0.16344,0.358,-0.508333333
Arizona,,,-0.00485,-0.02513,0.27007,0.06167,0.08362,0.04638,0.25719,0.13043,0.1634,0.07241,0.15833,-0.112,-0.166666667
Arizona,,,-0.05863,0.08519,0.08653,-0.09261,0.03977,0.23373,0.14394,-0.01644,0.0086,0.13449,-0.03201,-0.488,3.033333334
Arizona,,,-0.02516,0.13327,0.32667,0.25745,0.18718,0.18065,0.4265,0.20452,0.5418,-0.01448,0.34464,-0.248,-2.766666667
Arizona,,,0.01327,-0.1221,0.11298,0.10635,0.04694,-0.22109,0.70341,0.1545,0.41,-0.0707,0.24026,-0.078,-1.25
Arkansas,,,-0.0254,0.0052,-0.0231,0.0182,0.0234,0.0247,0.0111,0.0101,0.0788,0.0583,-0.0053,0.662,-0.058333333
Arkansas,,,0.021,-0.0015,0.1014,0.0171,0.0088,0.0254,0.0637,0.0147,0.0977,0.0561,0.0091,-0.143,-0.516666667
Arkansas,,,0.0005,-0.0052,-0.0326,0.0003,-0.0033,0.0328,-0.0139,0.0125,0.1039,0.0192,-0.0021,0.243,-0.358333333
Arkansas,,,0.0059,0.0123,-0.0961,-0.0148,0.0224,-0.0129,0.0433,0.0086,0.0737,0.0586,0.0212,0.318,0.583333333
Arkansas,,,-0.0232,-0.0073,0.0966,0.015,0.0212,0.0055,0.0265,0.0212,0.0653,0.0571,0.0346,-0.544,0.575
Arkansas,,,0.0573,-0.0032,0.081,0.0152,0.0311,0.0137,-0.008,0.0261,0.094,0.0862,0.018,0.092,0.425
Arkansas,,,0.0544,0.0066,0.1448,0.0221,0.0227,0.0021,-0.0362,0.0252,0.1085,0.0752,0.0212,0.245,-0.175
Arkansas,,,-0.0368,0.0027,-0.0079,0.0246,0.0754,0.0186,0.0535,0.0197,0.1281,0.0846,0.0036,0.018,-0.325
Arkansas,,,0.0026,0.0217,0.0559,0.0147,-0.0191,0.0053,0.0132,0.0253,0.0949,0.0273,0.0052,0.014,-0.008333333
Arkansas,,,-0.0497,0.0511,-0.1926,-0.0321,0.1037,0.036,0.0642,-0.0008,0.0949,-0.0073,0.0053,-0.087,0.141666667
Arkansas,,,0.0147,0.0546,-0.1243,-0.0106,-0.0426,0.0001,0.0233,0.0378,0.0675,0.0076,0.0134,-0.268,0.05
Arkansas,,,0.0095,0.0521,-0.2253,-0.0572,0.0097,0.0283,0.032,0.0116,-0.0435,-0.0901,-0.0164,-0.13,2.283333333
Arkansas,,,-0.0453,0.0293,0.0424,0.0276,-0.0113,0.1045,0.0414,0.0092,0.1046,-0.0259,0.0204,0.034,0.05
Arkansas,,,0.0213,-0.0186,-0.0832,0.0116,-0.0026,-0.1376,0.0541,0.0343,0.0668,0.0306,-0.0158,-0.313,-0.641666666
Arkansas,,,0.0914,0.0137,0.1127,-0.0096,0.0288,-0.0348,-0.0191,0.0094,0.0593,0.0526,0.0161,0.613,-0.225
Arkansas,,,0.0031,0.0335,0.0411,-0.0012,-0.0079,0.0242,-0.0049,0.0127,0.1095,0.0285,0.007,-0.496,-1.141666667
Arkansas,,,0.0014,-0.0108,-0.0054,-0.0241,0.0171,-0.0055,-0.0083,0.0274,0.0844,0.0546,0.0124,0.367,-0.95
Arkansas,,,-0.06935,-0.16761,0.13417,0.05141,-0.03481,0.18585,0.16045,0.15318,0.1069,0.21148,0.08314,0.526,-0.966666667
Arkansas,,,0.07002,-0.05256,-0.00316,0.05687,-0.13944,0.00851,0.03853,0.06966,0.0957,0.12012,0.02188,0.188,-0.241666666
Arkansas,,,-0.00286,-0.0059,0.09725,0.00593,-0.05493,0.00074,0.0812,0.02896,0.1366,0.02189,0.03792,0.16,-0.083333334
Arkansas,,,-0.09897,-0.00751,-0.01526,-0.00664,0.03314,0.04195,0.00724,0.02544,0.0571,-0.01955,0.01222,0.851,-0.166666666
Arkansas,,,-0.01073,0.00199,-0.01145,-0.00377,0.04,0.06772,-0.02399,-0.02102,0.0257,0.09803,-0.02718,-0.488,2.708333333
Arkansas,,,0.12644,-0.00224,0.15911,0.05081,0.03322,0.01396,0.07172,0.05325,0.4252,0.00302,0.058,0.075,-2.125
Arkansas,,,-0.00244,-0.01056,0.04652,-0.01931,0.03594,-0.07881,0.09767,0.03922,0.3014,-0.06746,0.06165,-0.292,-0.775
California,,,-0.0917,-0.2261,1.4012,0.0326,0.581,0.9063,0.0896,0.0338,0.0909,1.6651,0.4738,0.118,-0.475
California,,,0.2587,-0.034,2.111,-0.0737,1.5375,0.4435,1.1169,0.1944,0.1277,0.7908,1.03,0.307,-0.666666666
California,,,0.1997,-0.1681,3.4767,0.0811,-0.4724,0.7552,0.5465,0.2309,0.1669,1.1601,1.1558,0.271,-0.341666667
California,,,-0.1532,-0.0277,-1.4986,-0.3311,0.5576,0.9165,0.3325,0.2126,0.0878,0.5761,-0.0645,-0.096,0.541666667
California,,,0.2324,0.0182,-1.0218,-0.0827,0.6536,0.7408,1.031,0.6094,0.0804,0.6306,0.2569,-0.064,1.291666666
California,,,0.0908,-0.2157,1.7509,0.0642,0.425,0.4885,1.4045,0.321,0.1145,1.3797,0.215,0.133,0.133333334
California,,,0.0473,0.0687,0.8792,0.4293,1.5978,-0.4527,2.0189,0.3602,0.1614,0.8556,0.4846,-0.195,-0.675
California,,,0.3287,0.0115,1.9182,0.1416,-0.0308,0.8135,2.3951,0.1412,0.1835,1.1005,0.505,0.16,-0.833333334
California,,,0.0787,0.3144,1.2308,0.4582,0.667,0.5747,0.4182,0.4199,0.1807,0.812,0.7169,0.288,-0.466666666
California,,,-0.2996,0.1724,1.2943,-0.1795,1.0176,-0.4804,0.8628,0.0997,0.1733,-0.2908,0.7089,-0.137,0.391666666
California,,,-0.1623,-0.0742,1.8951,-0.1146,0.3477,-1.4956,0.2417,0.7451,0.072,-1.4997,1.6496,-0.1,1.991666667
California,,,0.4906,0.4298,-1.4936,-0.4041,-0.5441,1.4598,-1.4673,0.2182,-0.146,-2.4504,-1.2625,-0.086,4.24166667
California,,,0.0848,-0.3254,-1.18,0.222,1.8952,-0.1955,0.6043,0.2724,0.0858,0.7351,0.2763,-0.342,0.91666666
California,,,-0.256,0.0137,-1.3846,0.1366,0.29,0.0541,1.0793,0.4665,0.1194,0.7479,0.8552,-0.33,-0.56666666
California,,,-0.1023,0.2856,1.0417,-0.0252,0.5089,0.3158,0.6473,0.4062,0.1141,0.1268,1.2776,0.326,-1.36666667
California,,,0.1855,-0.2185,1.0093,0.1603,1.9358,-0.3348,1.4128,0.3349,0.0858,0.9681,-0.5467,0.378,-1.491666667
California,,,0.2241,-0.138,1.1216,0.1046,0.2822,0.585,1.8488,0.313,0.1429,0.7302,1.0724,-0.141,-1.466666666
California,,,0.0221,-0.0996,0.7223,-0.0156,2.7192,0.033,0.083,0.7923,0.1553,0.9226,1.3739,0.386,-1.341666667
California,,,0.9392,-0.71694,4.01558,1.89823,4.19088,3.45055,7.7276,2.55058,0.152,3.04955,3.91144,0.293,-0.708333333
California,,,0.22135,0.26637,1.13059,0.86209,2.36025,0.27698,-7.93793,1.04095,0.1971,3.01701,1.63925,0.262,-0.683333334
California,,,0.12137,-0.1511,2.4997,0.55671,1.34724,-0.48069,1.71852,0.70199,0.2505,0.34743,2.2647,-0.11,-0.575
California,,,-0.14376,0.02841,1.2893,0.7571,3.12867,0.13408,0.59821,0.8083,0.2056,1.11266,2.11371,0.748,-0.158333333
California,,,0.1802,0.14505,-0.65033,-0.71206,1.89946,0.87805,-0.53936,0.35447,-0.1284,-1.02732,1.23947,-0.143,6.1
California,,,-0.49874,-0.21114,3.16911,1.37943,6.07698,1.85703,2.54285,1.0488,0.7118,-0.04667,3.67681,0.043,-2.875
California,,,-0.53213,-0.13922,-0.80578,-0.02127,2.0708,-1.29163,1.65237,0.46417,0.5434,-0.93752,1.08188,-0.266,-3.141666667
Colorado,,,0.0095,0.0773,0.0616,0.051,0.4463,0.1507,0.3013,0.0046,0.1175,0.1782,0.0537,0.471,0.258333334
Colorado,,,0.0195,-0.0417,0.05,-0.0084,0.2753,0.1568,0.2603,0.0191,0.1598,0.1231,0.122,0.102,-0.6
Colorado,,,0.0102,-0.0265,0.2223,0.0158,0.1247,0.1087,0.1725,0.0585,0.1935,0.2252,0.1384,-0.256,-0.275
Colorado,,,0.0219,0.0784,-0.1065,-0.0839,-0.0459,0.169,0.1844,0.0658,0.0812,0.0832,0.0531,0.01,1.075
Colorado,,,-0.0188,0.0219,0.0549,-0.0014,0.0904,-0.0545,0.0647,0.0558,0.0375,0.002,-0.0247,-0.266,1.866666666
Colorado,,,-0.0085,0.1036,0.0138,0.0464,-0.0415,-0.0056,-0.0312,0.0354,0.0997,0.0576,0.0449,0.097,0.425
Colorado,,,0.0121,0.0613,0.1367,0.0822,-0.1694,-0.0997,-0.2259,0.0376,0.1469,0.0408,0.0886,-0.045,-0.541666666
Colorado,,,0.0382,0.1625,0.1085,0.0602,0.0832,0.1291,-0.1328,0.0201,0.1429,0.1199,0.1049,-0.276,-0.491666667
Colorado,,,-0.0022,0.0474,0.1208,-0.1137,0.0768,0.0232,0.1315,0.0373,0.1352,0.0702,0.0945,0.53,-0.8
Colorado,,,-0.0227,-0.0414,0.1537,0.0915,0.1662,0.0198,0.2327,0.0239,0.1373,0.088,0.1312,0.549,-0.575
Colorado,,,-0.0199,0.143,-0.0038,-0.0223,0.0343,-0.2173,0.0528,0.0874,0.058,-0.0202,0.1653,-0.322,1.175
Colorado,,,0.0315,0.0961,0.0005,-0.0502,-0.0917,0.222,-0.1328,0.0538,-0.1101,-0.247,-0.0666,-0.63,3
Colorado,,,0.0122,-0.08,0.0178,0.0241,-0.0066,-0.0586,0.1573,0.0117,0.0536,0.0439,0.0373,0.461,1.266666667
Colorado,,,-0.0095,0.038,-0.0027,-0.0135,-0.0358,0.0923,0.1636,0.0205,0.1237,-0.004,0.0461,-0.44,-0.45
Colorado,,,-0.0362,0.0116,-0.0089,0.0319,-0.051,0.1218,0.0123,0.0455,0.0464,0.0831,0.0762,-0.311,-0.691666667
Colorado,,,0.0054,0.1023,0.0073,0.1331,0.064,-0.0094,0.0477,0.0313,0.1226,0.1032,0.0856,1.222,-1.25
Colorado,,,0.0187,0.3091,0.0367,0.0582,0.0118,-0.0105,0.0715,0.0708,0.1649,0.1314,0.1051,-0.96,-1.766666667
Colorado,,,0.0207,0.0897,0.06,-0.0225,-0.0434,0.0005,0.1909,0.0885,0.1431,0.1168,0.1088,0.69,-1.241666666
Colorado,,,0.0478,-0.76253,0.16481,0.38646,0.17908,0.45021,0.82052,0.35933,0.1407,0.50743,0.55002,0.406,-0.608333334
Colorado,,,-0.01711,0.48621,-0.08181,-0.00175,-0.31635,0.14201,0.3047,0.10901,0.1996,0.33406,0.2131,0.375,-0.525
Colorado,,,0.02297,0.06801,0.12733,0.10542,0.2251,-0.01175,0.1578,0.07566,0.1834,0.1214,0.29893,-0.4,0.441666667
Colorado,,,0.00687,0.16363,0.10327,-0.09332,0.46869,0.03601,0.23679,0.08066,0.1952,0.11603,0.36473,-0.184,-0.383333333
Colorado,,,-0.06261,-0.17447,0.10089,-0.20108,0.3506,0.17248,0.02841,-0.03473,-0.0712,0.07415,0.00991,1.186,4.1
Colorado,,,0.04387,-0.16593,0.07413,0.2506,0.23908,0.09099,0.56034,0.13301,0.6771,-0.06083,0.66706,-0.283,-1.308333334
Colorado,,,-0.16302,-0.15128,-0.04562,0.14637,0.34576,-0.10838,0.29668,0.09219,0.5245,-0.11058,0.55759,-0.168,-2.441666666
Connecticut,,,0.003,0.0053,0.0212,0.0072,0.0533,0.2988,-0.0175,-0.0434,0.1488,0.1459,-0.0011,0.326,-1.441666666
Connecticut,,,0.0094,0.0031,0.0547,0.0169,-0.0484,0.7033,0.082,0.0383,0.1683,0.1414,0.1107,-0.348,-0.35
Connecticut,,,-0.0057,0.0019,0.0285,-0.0226,0.0457,-0.0394,0.2356,0.0216,0.1089,0.0857,0.0625,0.321,0.766666667
Connecticut,,,-0.0006,-0.0004,0.2301,-0.0076,0.0285,-0.3145,0.0313,0.0497,0.099,0.0036,-0.0023,-0.097,1.525
Connecticut,,,-0.001,0.0015,0.0637,0.0171,0.0377,0.0315,-0.1442,0.0283,0.1369,0.1092,0.0016,0.071,1.05
Connecticut,,,-0.0015,-0.0045,0.5128,0.0263,0.0387,0.3738,0.1738,0.0418,0.1893,0.0692,-0.0111,-0.184,-0.358333333
Connecticut,,,0.0044,-0.0024,-0.0263,0.0197,0.0788,0.0232,0.0923,0.0163,0.1986,0.1121,-0.0326,0.02,-0.291666667
Connecticut,,,0.0008,0.001,0.4232,0.0152,0.0335,0.2091,-0.1583,0.0421,0.1813,0.0209,0.0037,0.549,-0.375
Connecticut,,,-0.0056,-1.00E-04,0.2122,0.0495,0.1389,0.2752,0.1917,0.0105,0.1469,0.0052,0.0454,0.019,0.025
Connecticut,,,-0.0073,-0.0062,-0.2987,-0.0182,0.0536,-0.5382,0.4265,0.1085,0.0981,-0.0194,0.1225,-0.239,1.2
Connecticut,,,0.004,-0.0019,-1.1268,-0.0273,-0.0463,0.531,0.2312,0.0137,-0.1028,-0.1831,-0.1137,0.057,2.675
Connecticut,,,-0.0014,0.0029,0.072,-0.0238,-0.0063,-0.2531,0.062,-0.0082,0.0841,0.0508,-0.0265,0.033,1.233333333
Connecticut,,,-0.007,-0.0028,-0.1844,0.0071,-0.0141,-0.2181,-0.059,0.0082,0.1009,0.0188,0.0095,-0.333,-0.541666666
Connecticut,,,1.00E-04,0.0039,-0.0059,0.0013,0.0188,-0.1193,-0.21,0.0372,0.0971,0.0926,0.0117,-0.302,-0.658333334
Connecticut,,,0.0026,1.00E-04,0.0331,0.005,0.1394,-0.3107,-0.1806,-0.0014,0.0946,0.0256,-0.0214,0.524,-0.408333333
Connecticut,,,-0.0007,0.0027,-0.1774,0.0051,0.0009,-0.0121,-0.1277,0.0251,0.1587,0.0791,0.0981,-0.014,-1.333333333
Connecticut,,,0.0013,-0.0008,-0.1357,0.0027,0.0597,-0.0547,0.1312,0.0074,0.1205,0.0731,0.0505,0.336,-1
Connecticut,,,0.00743,0.01543,0.40028,0.08961,0.17158,1.09406,0.29627,0.20741,0.0892,0.26781,0.39662,0.287,-0.75
Connecticut,,,0.00784,-0.01716,0.06665,0.09535,0.05071,0.97455,-0.22936,0.07982,0.1496,-0.13066,0.07807,-0.348,-0.45
Connecticut,,,-0.00175,-0.00069,0.30584,-0.00992,0.08059,-0.58241,0.21923,0.04437,0.1804,0.01674,0.06026,-0.346,-0.533333334
Connecticut,,,0.00411,-0.00034,0.07356,-0.02209,0.18006,-0.27533,-0.0107,0.05359,0.0825,-0.05851,0.07504,1.526,-0.275
Connecticut,,,-0.0052,0.00402,-0.18902,0.00874,-0.05015,-0.29419,-0.06738,-0.07758,-0.0476,-0.12071,-0.15624,-0.988,4.358333334
Connecticut,,,-0.00508,-0.00622,0.1786,0.04904,0.16936,-0.03813,0.04364,0.09455,0.5134,0.02681,0.24033,-0.224,-1.675
Connecticut,,,0.00239,-0.0017,0.16716,-0.00092,0.12763,0.17181,0.04111,0.08019,0.4042,-0.09867,0.21554,0.343,-2.133333334
Delaware,,,0.0037,0.0003,-0.0188,0.0088,0.015,0.1795,0.1025,0.0111,0.1206,0.0265,0.0267,-0.367,-0.516666666
Delaware,,,0.0018,-0.0001,0.0677,0.0047,-0.0048,0.2232,0.0644,0.0013,0.1334,0.0195,0.0014,0.717,-0.208333334
Delaware,,,0.0038,-0.0004,-0.0211,-0.0005,0.0054,0.0941,0.1461,0.0073,0.1164,0.0021,0.0145,-0.298,-0.033333333
Delaware,,,-0.0103,-0.0004,-0.0986,-0.0035,0.0087,-0.0815,-0.0538,0.0081,0.109,0.0175,-0.003,-0.089,0.691666667
Delaware,,,0.0082,-0.0012,0.0019,0.0004,0.0029,0.0783,-0.1,0.0196,0.1463,0.0518,0.0053,-0.253,0.2
Delaware,,,0.006,-0.0001,0.133,0.011,0.0056,0.013,-0.0497,0.01,0.1648,0.0339,0.0267,-0.326,-0.166666667
Delaware,,,0.008,-0.0006,-0.0272,-0.0029,0.0042,0.0272,-0.1206,0.0224,0.1723,0.0067,-0.0075,0.259,0.208333333
Delaware,,,-0.0059,-1.00E-04,0.0221,0.003,0.0016,0.0666,-0.0051,0.008,0.1121,0.0275,-0.015,-0.04,-0.6
Delaware,,,-0.0087,-0.0001,0.0469,-0.0038,0.0071,-0.0369,0.0179,0.0078,0.168,-0.0169,-0.0055,0.11,-0.3
Delaware,,,0.0003,0.0001,-0.0752,0.0114,-0.022,-0.1091,0.0527,0.0307,0.2435,0.004,0.0829,-0.569,-2.05
Delaware,,,0.00128,0.00017,0.0101,0.01761,0.04194,0.59654,0.1293,0.09551,0.1253,0.01848,0.00129,0.007,-1.083333333
Delaware,,,0.01547,0.00019,0.03821,0.01033,-0.04143,-0.19833,-0.05825,0.02786,0.1316,-0.00577,0.03374,0.695,-0.058333333
Delaware,,,0.00445,9.00E-05,0.02543,0.00319,0.00391,-0.24733,0.28506,0.01296,0.1903,0.01118,0.01157,-0.146,-0.758333334
Delaware,,,-0.00816,-4.00E-05,0.06755,0.00937,0.01005,0.18348,0.04275,0.01579,0.0948,0.00778,0.0086,0.937,-0.116666666
