geoname,year,region,geocode,taxrevenueratio,  AGR,AGRm,AGRr,  MIN,MINm,MINr,  MAN,MANm,MANr,  Wholesale trade,  Retail trade,  TandW,TandWm,TandWr,  INF,INFm,INFr,   FandI,FandIm,FandIr,   RE,Rem,REr,"   Professional, scientific, and technical services",   Educational services,   HS,HSm,HSr,STR,GDP,taxrevenue,SPI,PIEPC,PIEPCm,TRADE,TRADEm,TRADEr,PSTE,PSTEm,PSTEr,igt,lg(igt),c,p,lg(pl),wapw,MEHI,MEHIm,unemployrate,lg(gdp),lg(ml),granttotaloutlay,federalfunds,trustfunds,constraintratio,stategovernorparty
Alabama,2005,Southeast,0,0.049843733,2618,0.2618,0.016785236,3137,0.3137,0.020112791,28977,2.8977,0.185785252,10709,12995,4534,0.4534,0.029069618,4923,0.4923,0.031563681,8977,0.8977,0.057555793,15531,1.5531,0.099576586,8972,803,11169,1.1169,0.071609741,7774.147,155970.4,49843.73317,136087.5,25303,2.5303,23704,2.3704,0.151977555,9775,0.9775,0.062672148,,,,,,,80570,8.057,4.458333333,5.193042186,,428018,388870,39148,0.100671175,Republican
Alabama,2006,Southeast,0,0.05205669,2195,0.2195,0.013396105,3000,0.3,0.018309027,30030,3.003,0.183273361,11016,13194,4794,0.4794,0.029257825,5047,0.5047,0.030801887,8560,0.856,0.052241757,15987,1.5987,0.097568805,9399,825,11674,1.1674,0.071246527,8529.676,163853.6,52056.68963,144719,26245,2.6245,24210,2.421,0.147753849,10224,1.0224,0.062397164,,,,,,,79030,7.903,4,5.214455988,,434099,391181,42918,0.109713918,Republican
Alabama,2007,Southeast,0,0.052265427,1549,0.1549,0.009129035,3278,0.3278,0.0193189,29559,2.9559,0.174206027,11076,12865,4714,0.4714,0.027781969,4962,0.4962,0.029243557,8217,0.8217,0.048426906,16982,1.6982,0.100083452,9575,876,11530,1.153,0.067952079,8868.314,169678.4,52265.42683,151942.6,27160,2.716,23941,2.3941,0.141096333,10451,1.0451,0.06159299,,,,,,,86040,8.604,4.041666667,5.22962656,,443797,397808,45989,0.115606021,Republican
Alabama,2008,Southeast,0,0.052525902,1582,0.1582,0.009161094,3056,0.3056,0.017696778,29038,2.9038,0.168154138,11150,12278,4763,0.4763,0.027581726,5074,0.5074,0.029382674,7297,0.7297,0.042255691,17645,1.7645,0.102179205,10446,854,12022,1.2022,0.069617365,9070.53,172686.8,52525.90239,157780.3,27555,2.7555,23428,2.3428,0.135667579,11300,1.13,0.065436385,,,,,,,84310,8.431,5.883333333,5.237259142,,461317,411142,50175,0.122038128,Republican
Alabama,2009,Southeast,0,0.049340925,2166,0.2166,0.012866206,3023,0.3023,0.017956851,25386,2.5386,0.150794782,9799,11862,4387,0.4387,0.026059116,4694,0.4694,0.027882719,7495,0.7495,0.044520873,17784,1.7784,0.105638321,10363,904,12176,1.2176,0.072326372,8306.446,168348,49340.92475,155666.9,26958,2.6958,21661,2.1661,0.128667997,11267,1.1267,0.066926842,,,,,,,81490,8.149,10.08333333,5.226207961,,537991,484480,53511,0.11045038,Republican
Alabama,2010,Southeast,0,0.048181782,2001,0.2001,0.011450447,2996,0.2996,0.017144198,27174,2.7174,0.155499476,9806,12052,4720,0.472,0.027009551,4535,0.4535,0.025950914,7426,0.7426,0.042494263,18710,1.871,0.107065401,10192,917,12150,1.215,0.069526703,8419.911,174753,48181.78229,162068.8,27635,2.7635,21858,2.1858,0.125079398,11109,1.1109,0.063569724,,,,,,,75490,7.549,10.375,5.24242464,,608390,559569,48821,0.087247507,Republican
Alabama,2011,Southeast,0,0.047598531,1273,0.1273,0.007019583,2728,0.2728,0.015042752,29346,2.9346,0.161819864,9717,12021,4978,0.4978,0.027449713,4378,0.4378,0.02414119,7198,0.7198,0.039691249,19621,1.9621,0.108194219,10263,912,12335,1.2335,0.06801772,8631.984,181349.8,47598.53057,167882.2,28422,2.8422,21738,2.1738,0.119867791,11175,1.1175,0.061621242,,,,,,,72690,7.269,9.583333333,5.258517081,,606770,552210,54560,0.098802992,Republican
Alabama,2011,Southeast,0,0.047598531,1273,0.1273,0.007019583,2728,0.2728,0.015042752,29346,2.9346,0.161819864,9717,12021,4978,0.4978,0.027449713,4378,0.4378,0.02414119,7198,0.7198,0.039691249,19621,1.9621,0.108194219,10263,912,12335,1.2335,0.06801772,8631.984,181349.8,47598.53057,167882.2,28422,2.8422,21738,2.1738,0.119867791,11175,1.1175,0.061621242,,,,,,,72690,7.269,9.583333333,5.258517081,,606770,552210,54560,0.098802992,Republican
Alabama,2012,Southeast,0,0.048574034,1405,0.1405,0.00754164,2761,0.2761,0.014820262,30194,3.0194,0.162072797,9593,12118,4804,0.4804,0.025786504,4202,0.4202,0.02255514,8577,0.8577,0.046038894,19607,1.9607,0.105244795,10155,915,12332,1.2332,0.066194666,9049.294,186299,48574.03421,172101.5,28920,2.892,21711,2.1711,0.116538468,11070,1.107,0.059420609,,,,,,,79030,7.903,8.158333333,5.270210524,,544573,488543,56030,0.11468796,Republican
Alabama,2013,Southeast,0,0.048393674,2265,0.2265,0.01182885,2688,0.2688,0.014037946,31962,3.1962,0.166919956,9930,12295,4776,0.4776,0.024942422,4296,0.4296,0.022435646,7997,0.7997,0.041763935,19407,1.9407,0.101352092,10143,889,12556,1.2556,0.065573086,9266.469,191481,48393.67352,173720.7,29594,2.9594,22225,2.2225,0.116068957,11032,1.1032,0.057614071,,,,,,,88910,8.891,7.325,5.282125687,,546178,486781,59397,0.122019964,Republican
Alabama,2014,Southeast,0,0.047907144,2111,0.2111,0.010878096,2668,0.2668,0.013748347,30963,3.0963,0.159553993,10107,12968,4695,0.4695,0.024193586,4370,0.437,0.022518843,8449,0.8449,0.043538148,19331,1.9331,0.099613676,10116,903,12789,1.2789,0.0659024,9296.846,194059.7,47907.14404,179487.1,30365,3.0365,23075,2.3075,0.118906708,11019,1.1019,0.056781496,,,,,,,81800,8.18,6.733333333,5.287935356,,576978,517428,59550,0.115088476,Republican
Alabama,2015,Southeast,0,0.048665071,2177,0.2177,0.010859979,2783,0.2783,0.013883014,31261,3.1261,0.155945701,10373,13177,4476,0.4476,0.022328555,4494,0.4494,0.022418348,8458,0.8458,0.042192788,19702,1.9702,0.098283555,10404,887,13457,1.3457,0.067130332,9755.439,200460.8,48665.07068,187474.7,31130,3.113,23550,2.355,0.117479328,11291,1.1291,0.056325227,,,,,,,90920,9.092,6.125,5.302029459,,624357,567054,57303,0.101053868,Republican
Alabama,2016,Southeast,0,0.050911497,1986.7,0.19867,0.00976753,1792.4,0.17924,0.008812262,34083.1,3.40831,0.167568181,11849.7,14018.5,5297.3,0.52973,0.026043961,4709.2,0.47092,0.023152591,11574.2,1.15742,0.056904086,22292,2.2292,0.109597716,12223.6,1378,15234.2,1.52342,0.074898328,10355.317,203398.4,50911.49685,190871.8,32005,3.2005,25868.2,2.58682,0.127179958,13601.6,1.36016,0.066871716,,,,,,,90860,9.086,5.908333333,5.308347532,,660833,599787,61046,0.101779465,Republican
Alabama,2017,Southeast,0,0.048090206,2430.4,0.24304,0.01121988,1950,0.195,0.009002126,35501.4,3.55014,0.163891319,12582.8,15286.2,6050.6,0.60506,0.027932443,4381.3,0.43813,0.020226161,12207.1,1.22071,0.05635377,24539,2.4539,0.113283675,13123.6,1317.9,16134.1,1.61341,0.074482666,10417.084,216615.5,48090.20592,197963.8,33020,3.302,27869,2.7869,0.128656537,14441.5,1.44415,0.066668821,,,,,,,91960,9.196,4.508333333,5.335689529,,674712,613125,61587,0.100447706,Republican
Alabama,2018,Southeast,0,0.050068553,2575.9,0.25759,0.011665749,1810.7,0.18107,0.008200307,36772.1,3.67721,0.166533671,12703.4,15753.3,6327.2,0.63272,0.028654655,4569.9,0.45699,0.020696186,11961.9,1.19619,0.054173113,24846,2.4846,0.112522689,13886.9,1277.5,16584,1.6584,0.075105702,11055.577,220808.8,50068.55252,205674.2,34053,3.4053,28456.7,2.84567,0.128874846,15164.4,1.51644,0.068676611,,,,,,,79450,7.945,3.941666667,5.344016378,,696507,634179,62328,0.0982814,
Alabama,2019,Southeast,0,0.052384089,2169.7,0.21697,0.009645486,1749.9,0.17499,0.007779249,36962,3.6962,0.164316014,12639.8,16317.1,6006.1,0.60061,0.026700352,5151.3,0.51513,0.022900305,12062.9,1.20629,0.053626093,25570.8,2.55708,0.11367599,14413.9,1305.4,17352,1.7352,0.077138993,11783.518,224944.6,52384.08924,215165.8,35345,3.5345,28956.9,2.89569,0.128729029,15719.3,1.57193,0.069880762,,,,,,,89290,8.929,3.183333333,5.352075572,,749554,685729,63825,0.093076128,
Alabama,2020,Southeast,0,0.055905501,1733.3,0.17333,0.007804796,1606,0.1606,0.007231583,35617.6,3.56176,0.160380833,13165.7,16696.1,5894.5,0.58945,0.02654207,5097.7,0.50977,0.022954196,12107.5,1.21075,0.054518298,25463.8,2.54638,0.11465976,14798.8,1158,16902.7,1.69027,0.076110381,12415.572,222081.4,55905.50132,230872.6,34878,3.4878,29861.8,2.98618,0.134463309,15956.8,1.59568,0.071851132,,,,,,,84260,8.426,6.425,5.346512187,,750722,685084,65638,0.095810149,
Alabama,2021,Southeast,0,0.061474325,2429.5,0.24295,0.010476833,1552.9,0.15529,0.006696635,35769.9,3.57699,0.154252011,13484.2,16370.2,6524.3,0.65243,0.028135007,5815.1,0.58151,0.025076695,13416.7,1.34167,0.057857387,27250.3,2.72503,0.11751259,15830,1172,17675.8,1.76758,0.07622408,14255.441,231892.6,61474.32475,252791.9,39174,3.9174,29854.4,2.98544,0.128742357,17002,1.7002,0.073318424,,,,,,,87490,8.749,3.366666667,5.36528689,,706466,640281,66185,0.103368677,
Alabama,2022,Southeast,0,0.069230257,2165.7,0.21657,0.009184194,1614,0.1614,0.006844572,38245.1,3.82451,0.162187939,12809,15548.8,6315.3,0.63153,0.026781614,6348.4,0.63484,0.026921982,12435.3,1.24353,0.052735009,28230.3,2.82303,0.119717668,17016.1,1244.1,18175.2,1.81752,0.077076494,"16,325",235807.3,69230.25708,258362.2,42391,4.2391,28357.8,2.83578,0.120258364,18260.2,1.82602,0.077436958,,,,,,,89740,8.974,2.575,5.372557246,,696398,641753,54645,0.085149582,
Alaska,1997,Far West,1,0,362,0.0362,0.014061092,15673,1.5673,0.608783133,1363,0.1363,0.05294273,819,1582,2935,0.2935,0.114003605,537,0.0537,0.020858581,637,0.0637,0.024742861,2875,0.2875,0.111673037,1095,118,1349,0.1349,0.052398931,,25744.8,0,,23213,2.3213,2401,0.2401,0.093261552,1213,0.1213,0.047116311,,,,,,,54930,5.493,6.933333333,4.410689522,,234160,206311,27849,0.134985532,Democrat
Alaska,1998,Far West,1,0,336,0.0336,0.013901301,11867,1.1867,0.490972429,1764,0.1764,0.072981829,871,1729,2994,0.2994,0.123870519,582,0.0582,0.024079039,795,0.0795,0.032891471,2794,0.2794,0.115595936,1088,115,1393,0.1393,0.057632476,,24170.4,0,18155.9,24110,2.411,2600,0.26,0.107569589,1203,0.1203,0.049771621,,,,,,,61530,6.153,6.325,4.383283838,,246128,218966,27162,0.124046656,Democrat
Alaska,1999,Far West,1,0,372,0.0372,0.015040877,10427,1.0427,0.421589319,1330,0.133,0.053775179,890,1774,3146,0.3146,0.127200537,614,0.0614,0.024825534,857,0.0857,0.034650623,2949,0.2949,0.119235341,1087,125,1441,0.1441,0.058263183,,24732.6,0,18706.6,25423,2.5423,2664,0.2664,0.107712088,1212,0.1212,0.049004148,,,,,,,60260,6.026,6.408333333,4.393269774,,267886,237884,30002,0.126120294,Democrat
Alaska,2000,Far West,1,0.05315076,435,0.0435,0.016244496,8366,0.8366,0.312417144,1197,0.1197,0.044700373,908,1740,3198,0.3198,0.119425057,681,0.0681,0.025431039,951,0.0951,0.03551383,3014,0.3014,0.112553822,1095,124,1577,0.1577,0.058890968,1423.287,26778.3,53150.76013,20092.2,27243,2.7243,2648,0.2648,0.098886038,1219,0.1219,0.045521934,,,,,,,56920,5.692,6.316666667,4.427783003,,285874,254098,31776,0.125054113,Democrat
Alaska,2001,Far West,1,0.050270158,378,0.0378,0.013300305,7920,0.792,0.278673066,1294,0.1294,0.045530675,905,1855,3855,0.3855,0.135642004,681,0.0681,0.023961661,876,0.0876,0.03082293,3182,0.3182,0.11196183,1235,133,1786,0.1786,0.062842184,1428.698,28420.4,50270.15806,21287.1,28599,2.8599,2760,0.276,0.097113341,1368,0.1368,0.048134439,,,,,,,55250,5.525,6.283333333,4.453630186,,318542,284384,34158,0.120112243,Democrat
Alaska,2002,Far West,1,0.036800978,360,0.036,0.012159985,9967,0.9967,0.336662692,1356,0.1356,0.04580261,893,1973,3119,0.3119,0.105352758,755,0.0755,0.02550219,932,0.0932,0.03148085,3241,0.3241,0.109473642,1326,140,1920,0.192,0.064853253,1089.504,29605.3,36800.9782,22331.5,30252,3.0252,2866,0.2866,0.096806991,1466,0.1466,0.049518161,,,,,,,58360,5.836,7.166666667,4.471369466,,352895,314672,38223,0.12146934,Republican
Alaska,2002,Far West,1,0.036800978,360,0.036,0.012159985,9967,0.9967,0.336662692,1356,0.1356,0.04580261,893,1973,3119,0.3119,0.105352758,755,0.0755,0.02550219,932,0.0932,0.03148085,3241,0.3241,0.109473642,1326,140,1920,0.192,0.064853253,1089.504,29605.3,36800.9782,22331.5,30252,3.0252,2866,0.2866,0.096806991,1466,0.1466,0.049518161,,,,,,,58360,5.836,7.166666667,4.471369466,,352895,314672,38223,0.12146934,Democrat
Alaska,2003,Far West,1,0.03522464,393,0.0393,0.012358607,7642,0.7642,0.240316733,1502,0.1502,0.04723315,923,2070,3416,0.3416,0.107422397,799,0.0799,0.025126023,1093,0.1093,0.034371393,3204,0.3204,0.100755668,1339,139,2071,0.2071,0.065126401,1120.133,31799.7,35224.64048,23372.1,31704,3.1704,2993,0.2993,0.094120385,1478,0.1478,0.046478426,,,,,,,56640,5.664,7.683333333,4.502423023,,388542,350650,37892,0.10806217,Republican
Alaska,2004,Far West,1,0.03840904,369,0.0369,0.01055169,8645,0.8645,0.247206948,1577,0.1577,0.045094894,993,1986,3751,0.3751,0.107261222,897,0.0897,0.025650044,916,0.0916,0.026193356,3249,0.3249,0.092906347,1386,139,2225,0.2225,0.063624692,1343.191,34970.7,38409.03957,24429.2,33138,3.3138,2979,0.2979,0.085185598,1525,0.1525,0.043607935,,,,,,,54330,5.433,7.416666667,4.543704326,,407512,369909,37603,0.101654731,Republican
Alaska,2005,Far West,1,0.046720813,421,0.0421,0.010584591,8902,0.8902,0.223810051,1394,0.1394,0.035047316,1054,2052,3942,0.3942,0.099107978,1018,0.1018,0.025594095,1152,0.1152,0.028963062,3323,0.3323,0.08354536,1409,135,2272,0.2272,0.057121595,1858.311,39774.8,46720.81318,26019.6,35017,3.5017,3106,0.3106,0.078089645,1544,0.1544,0.038818548,,,,,,,53550,5.355,6.933333333,4.599608005,,428018,388870,39148,0.100671175,Republican
Alaska,2006,Far West,1,0.055910999,443,0.0443,0.009969551,11034,1.1034,0.248316091,1447,0.1447,0.0325642,1131,2005,4162,0.4162,0.093664271,1057,0.1057,0.023787394,1020,0.102,0.022954723,3294,0.3294,0.074130252,1406,136,2325,0.2325,0.052323266,2484.422,44435.3,55910.99869,27696.2,35947,3.5947,3136,0.3136,0.070574521,1542,0.1542,0.03470214,,,,,,,53170,5.317,6.633333333,4.647728117,,434099,391181,42918,0.109713918,Republican
Alaska,2006,Far West,1,0.055910999,443,0.0443,0.009969551,11034,1.1034,0.248316091,1447,0.1447,0.0325642,1131,2005,4162,0.4162,0.093664271,1057,0.1057,0.023787394,1020,0.102,0.022954723,3294,0.3294,0.074130252,1406,136,2325,0.2325,0.052323266,2484.422,44435.3,55910.99869,27696.2,35947,3.5947,3136,0.3136,0.070574521,1542,0.1542,0.03470214,,,,,,,53170,5.317,6.633333333,4.647728117,,434099,391181,42918,0.109713918,Republican
Alaska,2007,Far West,1,0.075316544,397,0.0397,0.008106574,12216,1.2216,0.249445608,1549,0.1549,0.031629932,1184,1965,4680,0.468,0.095563642,1111,0.1111,0.022686155,989,0.0989,0.020194966,3540,0.354,0.072285319,1482,131,2319,0.2319,0.04735301,3688.447,48972.6,75316.54435,29761.3,37656,3.7656,3149,0.3149,0.064301262,1613,0.1613,0.032936785,,,,,,,57660,5.766,6.258333333,4.689953162,,443797,397808,45989,0.115606021,Republican
Alaska,2008,Far West,1,0.159488625,434,0.0434,0.007926593,12024,1.2024,0.219606812,1348,0.1348,0.024619925,1190,1925,5347,0.5347,0.09765782,1167,0.1167,0.021314134,985,0.0985,0.017990079,3659,0.3659,0.066828121,1698,127,2442,0.2442,0.044600785,8732.385,54752.4,159488.6252,32860.7,38911,3.8911,3115,0.3115,0.056892483,1825,0.1825,0.033331872,,,,,,,58600,5.86,6.475,4.738403161,,461317,411142,50175,0.122038128,Republican
Alaska,2009,Far West,1,0.099945428,469,0.0469,0.009458334,15372,1.5372,0.310007482,1493,0.1493,0.030109366,1034,1989,4295,0.4295,0.086617365,1061,0.1061,0.021397212,1081,0.1081,0.021800552,3916,0.3916,0.078974063,1737,126,2560,0.256,0.05162758,4955.884,49585.9,99945.42803,32995.4,38871,3.8871,3023,0.3023,0.060964911,1863,0.1863,0.037571164,,,,,,,52890,5.289,7.983333333,4.6953582,,537991,484480,53511,0.11045038,Republican
Alaska,2009,Far West,1,0.099945428,469,0.0469,0.009458334,15372,1.5372,0.310007482,1493,0.1493,0.030109366,1034,1989,4295,0.4295,0.086617365,1061,0.1061,0.021397212,1081,0.1081,0.021800552,3916,0.3916,0.078974063,1737,126,2560,0.256,0.05162758,4955.884,49585.9,99945.42803,32995.4,38871,3.8871,3023,0.3023,0.060964911,1863,0.1863,0.037571164,,,,,,,52890,5.289,7.983333333,4.6953582,,537991,484480,53511,0.11045038,Republican
Alaska,2010,Far West,1,0.085527859,524,0.0524,0.00990876,13705,1.3705,0.259159457,1075,0.1075,0.020328086,1093,2028,4900,0.49,0.092658252,1061,0.1061,0.020063348,985,0.0985,0.0186262,4336,0.4336,0.081993098,1795,127,2659,0.2659,0.050281284,4522.927,52882.5,85527.85893,35374.3,39968,3.9968,3121,0.3121,0.059017633,1922,0.1922,0.036344727,,,,,,,53420,5.342,8.133333333,4.723311978,,608390,559569,48821,0.087247507,Republican
Alaska,2011,Far West,1,0.098430303,589,0.0589,0.010469269,14425,1.4425,0.256399318,862,0.0862,0.015321748,1087,2010,4716,0.4716,0.083825247,1149,0.1149,0.020423072,965,0.0965,0.017152537,4564,0.4564,0.0811235,1896,124,2852,0.2852,0.0506933,5537.679,56259.9,98430.30293,37870.6,41449,4.1449,3097,0.3097,0.055048089,2020,0.202,0.035904792,,,,,,,53900,5.39,7.733333333,4.750198956,,606770,552210,54560,0.098802992,Republican
Alaska,2012,Far West,1,0.122236618,535,0.0535,0.009276904,16336,1.6336,0.283266372,833,0.0833,0.014444227,1071,2000,4864,0.4864,0.084341799,1193,0.1193,0.02068663,983,0.0983,0.017045228,4595,0.4595,0.079677337,1904,124,2971,0.2971,0.051517164,7049.398,57670.1,122236.6183,38997.1,42455,4.2455,3071,0.3071,0.053251165,2028,0.2028,0.035165536,,,,,,,53970,5.397,7.25,4.760950704,,544573,488543,56030,0.11468796,Republican
Alaska,2013,Far West,1,0.090649191,536,0.0536,0.009466151,14237,1.4237,0.251435817,1141,0.1141,0.020150893,1139,2019,4779,0.4779,0.08440063,1294,0.1294,0.022852985,955,0.0955,0.016865997,4613,0.4613,0.081468949,1924,122,3095,0.3095,0.05465996,5132.811,56622.8,90649.19079,38565.1,42914,4.2914,3158,0.3158,0.055772586,2046,0.2046,0.036133854,,,,,,,58050,5.805,6.991666667,4.752991341,,546178,486781,59397,0.122019964,Republican
Alaska,2014,Far West,1,0.061080609,537,0.0537,0.009667419,12695,1.2695,0.22854355,1200,0.12,0.021603171,1147,2047,4735,0.4735,0.085242514,1288,0.1288,0.023187404,1050,0.105,0.018902775,4508,0.4508,0.081155914,1886,117,3071,0.3071,0.055286116,3392.869,55547.4,61080.60863,40642.1,44251,4.4251,3194,0.3194,0.057500441,2003,0.2003,0.036059294,,,,,,,51140,5.114,6.741666667,4.744663736,,576978,517428,59550,0.115088476,Independent
Alaska,2014,Far West,1,0.061080609,537,0.0537,0.009667419,12695,1.2695,0.22854355,1200,0.12,0.021603171,1147,2047,4735,0.4735,0.085242514,1288,0.1288,0.023187404,1050,0.105,0.018902775,4508,0.4508,0.081155914,1886,117,3071,0.3071,0.055286116,3392.869,55547.4,61080.60863,40642.1,44251,4.4251,3194,0.3194,0.057500441,2003,0.2003,0.036059294,,,,,,,51140,5.114,6.741666667,4.744663736,,576978,517428,59550,0.115088476,Republican
Alaska,2015,Far West,1,0.026935691,574,0.0574,0.011340512,12423,1.2423,0.245441075,1277,0.1277,0.025229675,1140,2077,4524,0.4524,0.089380618,1412,0.1412,0.027896869,1023,0.1023,0.0202114,4333,0.4333,0.085607033,1865,118,3208,0.3208,0.063380421,1363.35,50615,26935.691,41918.6,45018,4.5018,3217,0.3217,0.063558234,1983,0.1983,0.039178109,,,,,,,53880,5.388,6.275,4.704279241,,624357,567054,57303,0.101053868,Independent
Alaska,2016,Far West,1,0.018145496,396.3,0.03963,0.008017496,6362.4,0.63624,0.128716917,1552.8,0.15528,0.031414502,1278.2,2230.7,6460.6,0.64606,0.130703589,1377.5,0.13775,0.02786803,1157.6,0.11576,0.023419261,5195.1,0.51951,0.105101417,1887.7,194.5,3858.3,0.38583,0.078056784,896.921,49429.4,18145.4964,41285.5,45703,4.5703,3508.9,0.35089,0.070988116,2082.2,0.20822,0.042124727,,,,,,,56660,5.666,6.6,4.693985339,,660833,599787,61046,0.101779465,Independent
Alaska,2017,Far West,1,0.022575326,439.4,0.04394,0.008205278,8150.4,0.81504,0.152199123,1726.5,0.17265,0.032240355,1285.8,2428.4,7180.2,0.71802,0.13408178,1329.2,0.13292,0.024821245,1359.1,0.13591,0.025379592,5146.3,0.51463,0.096101093,1892.2,195.5,4086.7,0.40867,0.07631431,1208.929,53550.9,22575.32553,41919.4,47074,4.7074,3714.2,0.37142,0.069358311,2087.7,0.20877,0.038985339,,,,,,,59980,5.998,6.508333333,4.728766774,,674712,613125,61587,0.100447706,Independent
