geoname,year,region,geocode,taxrevenueratio,  AGR,AGRm,AGRr,  MIN,MINm,MINr,  MAN,MANm,MANr,  Wholesale trade,  Retail trade,  TandW,TandWm,TandWr,  INF,INFm,INFr,   FandI,FandIm,FandIr,   RE,Rem,REr,"   Professional, scientific, and technical services",   Educational services,   HS,HSm,HSr,STR,GDP,taxrevenue,SPI,PIEPC,PIEPCm,TRADE,TRADEm,TRADEr,PSTE,PSTEm,PSTEr,igt,lg(igt),c,p,lg(pl),wapw,MEHI,MEHIm,unemployrate,lg(gdp),lg(ml),granttotaloutlay,federalfunds,trustfunds,constraintratio,stategovernorparty,prediction,taxeffort
Alabama,2007,Southeast,0,0.052265427,1549,0.1549,0.009129035,3278,0.0278,0.0193189,29559,2.9559,0.174206027,11076,12865,4714,-0.008,0.027781969,4962,-0.0085,0.029243557,8217,-0.0343,0.048426906,16982,0.0995,0.100083452,9575,876,11530,-0.0144,0.067952079,8868.314,169678.4,52265.42683,151942.6,27160,0.0915,23941,-0.0269,0.141096333,10451,0.0227,0.06159299,,,,,,,86040,8.604,0.041666667,5.22962656,,443797,397808,45989,0.115606021,Republican,0.050696709,0.969985551
Alabama,2008,Southeast,0,0.052525902,1582,0.1582,0.009161094,3056,-0.0222,0.017696778,29038,2.9038,0.168154138,11150,12278,4763,0.0049,0.027581726,5074,0.0112,0.029382674,7297,-0.092,0.042255691,17645,0.0663,0.102179205,10446,854,12022,0.0492,0.069617365,9070.53,172686.8,52525.90239,157780.3,27555,0.0395,23428,-0.0513,0.135667579,11300,0.0849,0.065436385,,,,,,,84310,8.431,1.841666666,5.237259142,,461317,411142,50175,0.122038128,Republican,0.054645947,1.040361896
Alabama,2009,Southeast,0,0.049340925,2166,0.2166,0.012866206,3023,-0.0033,0.017956851,25386,2.5386,0.150794782,9799,11862,4387,-0.0376,0.026059116,4694,-0.038,0.027882719,7495,0.0198,0.044520873,17784,0.0139,0.105638321,10363,904,12176,0.0154,0.072326372,8306.446,168348,49340.92475,155666.9,26958,-0.0597,21661,-0.1767,0.128667997,11267,-0.0033,0.066926842,,,,,,,81490,8.149,4.199999997,5.226207961,,537991,484480,53511,0.11045038,Republican,0.059439853,1.204676503
Alabama,2010,Southeast,0,0.048181782,2001,0.2001,0.011450447,2996,-0.0027,0.017144198,27174,2.7174,0.155499476,9806,12052,4720,0.0333,0.027009551,4535,-0.0159,0.025950914,7426,-0.0069,0.042494263,18710,0.0926,0.107065401,10192,917,12150,-0.0026,0.069526703,8419.911,174753,48181.78229,162068.8,27635,0.0677,21858,0.0197,0.125079398,11109,-0.0158,0.063569724,,,,,,,75490,7.549,0.29166667,5.24242464,,608390,559569,48821,0.087247507,Republican,0.05689569,1.18085483
Alabama,2011,Southeast,0,0.047598531,1273,0.1273,0.007019583,2728,-0.0268,0.015042752,29346,2.9346,0.161819864,9717,12021,4978,0.0258,0.027449713,4378,-0.0157,0.02414119,7198,-0.0228,0.039691249,19621,0.0911,0.108194219,10263,912,12335,0.0185,0.06801772,8631.984,181349.8,47598.53057,167882.2,28422,0.0787,21738,-0.012,0.119867791,11175,0.0066,0.061621242,,,,,,,72690,7.269,-0.791666667,5.258517081,,606770,552210,54560,0.098802992,Republican,0.052980961,1.11307975
Alabama,2012,Southeast,0,0.048574034,1405,0.1405,0.00754164,2761,0.0033,0.014820262,30194,3.0194,0.162072797,9593,12118,4804,-0.0174,0.025786504,4202,-0.0176,0.02255514,8577,0.1379,0.046038894,19607,-0.0014,0.105244795,10155,915,12332,-0.0003,0.066194666,9049.294,186299,48574.03421,172101.5,28920,0.0498,21711,-0.0027,0.116538468,11070,-0.0105,0.059420609,,,,,,,79030,7.903,-1.425,5.270210524,,544573,488543,56030,0.11468796,Republican,0.047593966,0.979823212
Alabama,2013,Southeast,0,0.048393674,2265,0.2265,0.01182885,2688,-0.0073,0.014037946,31962,3.1962,0.166919956,9930,12295,4776,-0.0028,0.024942422,4296,0.0094,0.022435646,7997,-0.058,0.041763935,19407,-0.02,0.101352092,10143,889,12556,0.0224,0.065573086,9266.469,191481,48393.67352,173720.7,29594,0.0674,22225,0.0514,0.116068957,11032,-0.0038,0.057614071,,,,,,,88910,8.891,-0.833333333,5.282125687,,546178,486781,59397,0.122019964,Republican,0.050132615,1.03593323
Alabama,2014,Southeast,0,0.047907144,2111,0.2111,0.010878096,2668,-0.002,0.013748347,30963,3.0963,0.159553993,10107,12968,4695,-0.0081,0.024193586,4370,0.0074,0.022518843,8449,0.0452,0.043538148,19331,-0.0076,0.099613676,10116,903,12789,0.0233,0.0659024,9296.846,194059.7,47907.14404,179487.1,30365,0.0771,23075,0.085,0.118906708,11019,-0.0013,0.056781496,,,,,,,81800,8.18,-0.591666667,5.287935356,,576978,517428,59550,0.115088476,Republican,0.046850992,0.977954186
Alabama,2015,Southeast,0,0.048665071,2177,0.2177,0.010859979,2783,0.0115,0.013883014,31261,3.1261,0.155945701,10373,13177,4476,-0.0219,0.022328555,4494,0.0124,0.022418348,8458,0.0009,0.042192788,19702,0.0371,0.098283555,10404,887,13457,0.0668,0.067130332,9755.439,200460.8,48665.07068,187474.7,31130,0.0765,23550,0.0475,0.117479328,11291,0.0272,0.056325227,,,,,,,90920,9.092,-0.608333333,5.302029459,,624357,567054,57303,0.101053868,Republican,0.046507035,0.955655341
Alabama,2016,Southeast,0,0.050911497,1986.7,0.19867,0.00976753,1792.4,-0.09906,0.008812262,34083.1,3.40831,0.167568181,11849.7,14018.5,5297.3,0.08213,0.026043961,4709.2,0.02152,0.023152591,11574.2,0.31162,0.056904086,22292,0.259,0.109597716,12223.6,1378,15234.2,0.17772,0.074898328,10355.317,203398.4,50911.49685,190871.8,32005,0.0875,25868.2,0.23182,0.127179958,13601.6,0.23106,0.066871716,,,,,,,90860,9.086,-0.216666667,5.308347532,,660833,599787,61046,0.101779465,Republican,0.032113401,0.630769136
Alabama,2017,Southeast,0,0.048090206,2430.4,0.24304,0.01121988,1950,0.01576,0.009002126,35501.4,3.55014,0.163891319,12582.8,15286.2,6050.6,0.07533,0.027932443,4381.3,-0.03279,0.020226161,12207.1,0.06329,0.05635377,24539,0.2247,0.113283675,13123.6,1317.9,16134.1,0.08999,0.074482666,10417.084,216615.5,48090.20592,197963.8,33020,0.1015,27869,0.20008,0.128656537,14441.5,0.08399,0.066668821,,,,,,,91960,9.196,-1.4,5.335689529,,674712,613125,61587,0.100447706,Republican,0.031363461,0.652179801
Alabama,2018,Southeast,0,0.050068553,2575.9,0.25759,0.011665749,1810.7,-0.01393,0.008200307,36772.1,3.67721,0.166533671,12703.4,15753.3,6327.2,0.02766,0.028654655,4569.9,0.01886,0.020696186,11961.9,-0.02452,0.054173113,24846,0.0307,0.112522689,13886.9,1277.5,16584,0.04499,0.075105702,11055.577,220808.8,50068.55252,205674.2,34053,0.1033,28456.7,0.05877,0.128874846,15164.4,0.07229,0.068676611,,,,,,,79450,7.945,-0.566666666,5.344016378,,696507,634179,62328,0.0982814,,,0
Alabama,2019,Southeast,0,0.052384089,2169.7,0.21697,0.009645486,1749.9,-0.00608,0.007779249,36962,3.6962,0.164316014,12639.8,16317.1,6006.1,-0.03211,0.026700352,5151.3,0.05814,0.022900305,12062.9,0.0101,0.053626093,25570.8,0.07248,0.11367599,14413.9,1305.4,17352,0.0768,0.077138993,11783.518,224944.6,52384.08924,215165.8,35345,0.1292,28956.9,0.05002,0.128729029,15719.3,0.05549,0.069880762,,,,,,,89290,8.929,-0.758333334,5.352075572,,749554,685729,63825,0.093076128,,,0
Alabama,2020,Southeast,0,0.055905501,1733.3,0.17333,0.007804796,1606,-0.01439,0.007231583,35617.6,3.56176,0.160380833,13165.7,16696.1,5894.5,-0.01116,0.02654207,5097.7,-0.00536,0.022954196,12107.5,0.00446,0.054518298,25463.8,-0.0107,0.11465976,14798.8,1158,16902.7,-0.04493,0.076110381,12415.572,222081.4,55905.50132,230872.6,34878,-0.0467,29861.8,0.09049,0.134463309,15956.8,0.02375,0.071851132,,,,,,,84260,8.426,3.241666667,5.346512187,,750722,685084,65638,0.095810149,,,0
Alabama,2021,Southeast,0,0.061474325,2429.5,0.24295,0.010476833,1552.9,-0.00531,0.006696635,35769.9,3.57699,0.154252011,13484.2,16370.2,6524.3,0.06298,0.028135007,5815.1,0.07174,0.025076695,13416.7,0.13092,0.057857387,27250.3,0.17865,0.11751259,15830,1172,17675.8,0.07731,0.07622408,14255.441,231892.6,61474.32475,252791.9,39174,0.4296,29854.4,-0.00074,0.128742357,17002,0.10452,0.073318424,,,,,,,87490,8.749,-3.058333333,5.36528689,,706466,640281,66185,0.103368677,,,0
Alabama,2022,Southeast,0,0.069230257,2165.7,0.21657,0.009184194,1614,0.00611,0.006844572,38245.1,3.82451,0.162187939,12809,15548.8,6315.3,-0.0209,0.026781614,6348.4,0.05333,0.026921982,12435.3,-0.09814,0.052735009,28230.3,0.098,0.119717668,17016.1,1244.1,18175.2,0.04994,0.077076494,"16,325",235807.3,69230.25708,258362.2,42391,0.3217,28357.8,-0.14966,0.120258364,18260.2,0.12582,0.077436958,,,,,,,89740,8.974,-0.791666667,5.372557246,,696398,641753,54645,0.085149582,,,0
Alaska,1997,Far West,1,0,362,,0.014061092,15673,,0.608783133,1363,,0.05294273,819,1582,2935,0.2935,0.114003605,537,,0.020858581,637,0.0637,0.024742861,2875,,0.111673037,1095,118,1349,,0.052398931,,25744.8,0,,23213,,2401,0.2401,0.093261552,1213,,0.047116311,,,,,,,54930,,,4.410689522,,234160,206311,27849,0.134985532,Democrat,,#DIV/0!
Alaska,1998,Far West,1,0,336,-0.0026,0.013901301,11867,-0.3806,0.490972429,1764,0.0401,0.072981829,871,1729,2994,0.2994,0.123870519,582,0.0045,0.024079039,795,0.0795,0.032891471,2794,-0.0081,0.115595936,1088,115,1393,0.0044,0.057632476,,24170.4,0,18155.9,24110,0.0897,2600,0.26,0.107569589,1203,-0.001,0.049771621,,,,,,,61530,0.66,-0.608333333,4.383283838,,246128,218966,27162,0.124046656,Democrat,,#DIV/0!
Alaska,1999,Far West,1,0,372,0.0036,0.015040877,10427,-0.144,0.421589319,1330,-0.0434,0.053775179,890,1774,3146,0.3146,0.127200537,614,0.0032,0.024825534,857,0.0857,0.034650623,2949,0.0155,0.119235341,1087,125,1441,0.0048,0.058263183,,24732.6,0,18706.6,25423,0.1313,2664,0.2664,0.107712088,1212,0.0009,0.049004148,,,,,,,60260,-0.127,0.083333333,4.393269774,,267886,237884,30002,0.126120294,Democrat,,#DIV/0!
Alaska,2000,Far West,1,0.05315076,435,0.0063,0.016244496,8366,-0.2061,0.312417144,1197,-0.0133,0.044700373,908,1740,3198,0.3198,0.119425057,681,0.0067,0.025431039,951,0.0951,0.03551383,3014,0.0065,0.112553822,1095,124,1577,0.0136,0.058890968,1423.287,26778.3,53150.76013,20092.2,27243,0.182,2648,0.2648,0.098886038,1219,0.0007,0.045521934,,,,,,,56920,-0.334,-0.091666666,4.427783003,,285874,254098,31776,0.125054113,Democrat,0.07731742,1.454681363
Alaska,2001,Far West,1,0.050270158,378,-0.0057,0.013300305,7920,-0.0446,0.278673066,1294,0.0097,0.045530675,905,1855,3855,0.3855,0.135642004,681,0,0.023961661,876,0.0876,0.03082293,3182,0.0168,0.11196183,1235,133,1786,0.0209,0.062842184,1428.698,28420.4,50270.15806,21287.1,28599,0.1356,2760,0.276,0.097113341,1368,0.0149,0.048134439,,,,,,,55250,-0.167,-0.033333334,4.453630186,,318542,284384,34158,0.120112243,Democrat,0.077260968,1.536915161
Alaska,2002,Far West,1,0.036800978,360,-0.0018,0.012159985,9967,0.2047,0.336662692,1356,0.0062,0.04580261,893,1973,3119,0.3119,0.105352758,755,0.0074,0.02550219,932,0.0932,0.03148085,3241,0.0059,0.109473642,1326,140,1920,0.0134,0.064853253,1089.504,29605.3,36800.9782,22331.5,30252,0.1653,2866,0.2866,0.096806991,1466,0.0098,0.049518161,,,,,,,58360,0.311,0.883333334,4.471369466,,352895,314672,38223,0.12146934,Republican,0.091864165,2.496242491
Alaska,2003,Far West,1,0.03522464,393,0.0033,0.012358607,7642,-0.2325,0.240316733,1502,0.0146,0.04723315,923,2070,3416,0.3416,0.107422397,799,0.0044,0.025126023,1093,0.1093,0.034371393,3204,-0.0037,0.100755668,1339,139,2071,0.0151,0.065126401,1120.133,31799.7,35224.64048,23372.1,31704,0.1452,2993,0.2993,0.094120385,1478,0.0012,0.046478426,,,,,,,56640,-0.172,0.516666666,4.502423023,,388542,350650,37892,0.10806217,Republican,0.086020792,2.442063056
Alaska,2004,Far West,1,0.03840904,369,-0.0024,0.01055169,8645,0.1003,0.247206948,1577,0.0075,0.045094894,993,1986,3751,0.3751,0.107261222,897,0.0098,0.025650044,916,0.0916,0.026193356,3249,0.0045,0.092906347,1386,139,2225,0.0154,0.063624692,1343.191,34970.7,38409.03957,24429.2,33138,0.1434,2979,0.2979,0.085185598,1525,0.0047,0.043607935,,,,,,,54330,-0.231,-0.266666666,4.543704326,,407512,369909,37603,0.101654731,Republican,0.099768708,2.597531935
Alaska,2005,Far West,1,0.046720813,421,0.0052,0.010584591,8902,0.0257,0.223810051,1394,-0.0183,0.035047316,1054,2052,3942,0.3942,0.099107978,1018,0.0121,0.025594095,1152,0.1152,0.028963062,3323,0.0074,0.08354536,1409,135,2272,0.0047,0.057121595,1858.311,39774.8,46720.81318,26019.6,35017,0.1879,3106,0.3106,0.078089645,1544,0.0019,0.038818548,,,,,,,53550,-0.078,-0.483333334,4.599608005,,428018,388870,39148,0.100671175,Republican,0.099559013,2.130934943
Alaska,2006,Far West,1,0.055910999,443,0.0022,0.009969551,11034,0.2132,0.248316091,1447,0.0053,0.0325642,1131,2005,4162,0.4162,0.093664271,1057,0.0039,0.023787394,1020,0.102,0.022954723,3294,-0.0029,0.074130252,1406,136,2325,0.0053,0.052323266,2484.422,44435.3,55910.99869,27696.2,35947,0.093,3136,0.3136,0.070574521,1542,-0.0002,0.03470214,,,,,,,53170,-0.038,-0.3,4.647728117,,434099,391181,42918,0.109713918,Republican,0.113839355,2.036081577
Alaska,2007,Far West,1,0.075316544,397,-0.0046,0.008106574,12216,0.1182,0.249445608,1549,0.0102,0.031629932,1184,1965,4680,0.468,0.095563642,1111,0.0054,0.022686155,989,0.0989,0.020194966,3540,0.0246,0.072285319,1482,131,2319,-0.0006,0.04735301,3688.447,48972.6,75316.54435,29761.3,37656,0.1709,3149,0.3149,0.064301262,1613,0.0071,0.032936785,,,,,,,57660,0.449,-0.375,4.689953162,,443797,397808,45989,0.115606021,Republican,0.118140612,1.568587799
Alaska,2008,Far West,1,0.159488625,434,0.0037,0.007926593,12024,-0.0192,0.219606812,1348,-0.0201,0.024619925,1190,1925,5347,0.5347,0.09765782,1167,0.0056,0.021314134,985,0.0985,0.017990079,3659,0.0119,0.066828121,1698,127,2442,0.0123,0.044600785,8732.385,54752.4,159488.6252,32860.7,38911,0.1255,3115,0.3115,0.056892483,1825,0.0212,0.033331872,,,,,,,58600,0.094,0.216666667,4.738403161,,461317,411142,50175,0.122038128,Republican,0.121537946,0.762047739
Alaska,2009,Far West,1,0.099945428,469,0.0035,0.009458334,15372,0.3348,0.310007482,1493,0.0145,0.030109366,1034,1989,4295,0.4295,0.086617365,1061,-0.0106,0.021397212,1081,0.1081,0.021800552,3916,0.0257,0.078974063,1737,126,2560,0.0118,0.05162758,4955.884,49585.9,99945.42803,32995.4,38871,-0.004,3023,0.3023,0.060964911,1863,0.0038,0.037571164,,,,,,,52890,-0.571,1.508333333,4.6953582,,537991,484480,53511,0.11045038,Republican,0.12103323,1.210993163
Alaska,2010,Far West,1,0.085527859,524,0.0055,0.00990876,13705,-0.1667,0.259159457,1075,-0.0418,0.020328086,1093,2028,4900,0.49,0.092658252,1061,0,0.020063348,985,0.0985,0.0186262,4336,0.042,0.081993098,1795,127,2659,0.0099,0.050281284,4522.927,52882.5,85527.85893,35374.3,39968,0.1097,3121,0.3121,0.059017633,1922,0.0059,0.036344727,,,,,,,53420,0.053,0.15,4.723311978,,608390,559569,48821,0.087247507,Republican,0.123902492,1.448679921
Alaska,2011,Far West,1,0.098430303,589,0.0065,0.010469269,14425,0.072,0.256399318,862,-0.0213,0.015321748,1087,2010,4716,0.4716,0.083825247,1149,0.0088,0.020423072,965,0.0965,0.017152537,4564,0.0228,0.0811235,1896,124,2852,0.0193,0.0506933,5537.679,56259.9,98430.30293,37870.6,41449,0.1481,3097,0.3097,0.055048089,2020,0.0098,0.035904792,,,,,,,53900,0.048,-0.4,4.750198956,,606770,552210,54560,0.098802992,Republican,0.13105602,1.331460089
Alaska,2012,Far West,1,0.122236618,535,-0.0054,0.009276904,16336,0.1911,0.283266372,833,-0.0029,0.014444227,1071,2000,4864,0.4864,0.084341799,1193,0.0044,0.02068663,983,0.0983,0.017045228,4595,0.0031,0.079677337,1904,124,2971,0.0119,0.051517164,7049.398,57670.1,122236.6183,38997.1,42455,0.1006,3071,0.3071,0.053251165,2028,0.0008,0.035165536,,,,,,,53970,0.007,-0.483333333,4.760950704,,544573,488543,56030,0.11468796,Republican,0.130806887,1.070112125
Alaska,2013,Far West,1,0.090649191,536,0.0001,0.009466151,14237,-0.2099,0.251435817,1141,0.0308,0.020150893,1139,2019,4779,0.4779,0.08440063,1294,0.0101,0.022852985,955,0.0955,0.016865997,4613,0.0018,0.081468949,1924,122,3095,0.0124,0.05465996,5132.811,56622.8,90649.19079,38565.1,42914,0.0459,3158,0.3158,0.055772586,2046,0.0018,0.036133854,,,,,,,58050,0.408,-0.258333333,4.752991341,,546178,486781,59397,0.122019964,Republican,0.129838182,1.432314845
Alaska,2014,Far West,1,0.061080609,537,1.00E-04,0.009667419,12695,-0.1542,0.22854355,1200,0.0059,0.021603171,1147,2047,4735,0.4735,0.085242514,1288,-0.0006,0.023187404,1050,0.105,0.018902775,4508,-0.0105,0.081155914,1886,117,3071,-0.0024,0.055286116,3392.869,55547.4,61080.60863,40642.1,44251,0.1337,3194,0.3194,0.057500441,2003,-0.0043,0.036059294,,,,,,,51140,-0.691,-0.25,4.744663736,,576978,517428,59550,0.115088476,Independent,0.125710455,2.058107427
Alaska,2015,Far West,1,0.026935691,574,0.0037,0.011340512,12423,-0.0272,0.245441075,1277,0.0077,0.025229675,1140,2077,4524,0.4524,0.089380618,1412,0.0124,0.027896869,1023,0.1023,0.0202114,4333,-0.0175,0.085607033,1865,118,3208,0.0137,0.063380421,1363.35,50615,26935.691,41918.6,45018,0.0767,3217,0.3217,0.063558234,1983,-0.002,0.039178109,,,,,,,53880,0.274,-0.466666667,4.704279241,,624357,567054,57303,0.101053868,Independent,0.118505627,4.399576272
Alaska,2016,Far West,1,0.018145496,396.3,-0.01777,0.008017496,6362.4,-0.60606,0.128716917,1552.8,0.02758,0.031414502,1278.2,2230.7,6460.6,0.64606,0.130703589,1377.5,-0.00345,0.02786803,1157.6,0.11576,0.023419261,5195.1,0.08621,0.105101417,1887.7,194.5,3858.3,0.06503,0.078056784,896.921,49429.4,18145.4964,41285.5,45703,0.0685,3508.9,0.35089,0.070988116,2082.2,0.00992,0.042124727,,,,,,,56660,0.278,0.325,4.693985339,,660833,599787,61046,0.101779465,Independent,0.09038014,4.98085806
Alaska,2017,Far West,1,0.022575326,439.4,0.00431,0.008205278,8150.4,0.1788,0.152199123,1726.5,0.01737,0.032240355,1285.8,2428.4,7180.2,0.71802,0.13408178,1329.2,-0.00483,0.024821245,1359.1,0.13591,0.025379592,5146.3,-0.00488,0.096101093,1892.2,195.5,4086.7,0.02284,0.07631431,1208.929,53550.9,22575.32553,41919.4,47074,0.1371,3714.2,0.37142,0.069358311,2087.7,0.00055,0.038985339,,,,,,,59980,0.332,-0.091666667,4.728766774,,674712,613125,61587,0.100447706,Independent,0.086934728,3.850873649
Alaska,2018,Far West,1,0.031561826,435.1,-0.00043,0.008290841,7179,-0.09714,0.136796012,1261.6,-0.04649,0.024039817,1344.3,2515,7262.3,0.72623,0.138383296,1152,-0.01772,0.021951387,1293.6,0.12936,0.024649578,5303.4,0.01571,0.10105641,1833.8,190.2,4282.7,0.0196,0.081606948,1656.352,52479.6,31561.82593,43522.7,48904,0.183,3859.3,0.38593,0.073539051,2024,-0.00637,0.038567367,,,,,,,57720,-0.226,-0.466666666,4.719990516,,696507,634179,62328,0.0982814,Independent,0.087464461,2.771210417
Alaska,2019,Far West,1,0.03440007,455.1,0.002,0.008697513,7215.1,0.00361,0.137889319,1405.4,0.01438,0.0268589,1417.8,2601.5,6782.5,0.67825,0.129621808,1255.3,0.01033,0.023990307,1280.1,0.12801,0.024464265,5120.4,-0.0183,0.09785706,1871.2,193.2,4378.4,0.00957,0.083676539,1799.994,52325.3,34400.07033,44507.6,50140,0.1236,4019.3,0.40193,0.076813702,2064.4,0.00404,0.03945319,,,,,,,64010,0.629,-0.45,4.718711727,,749554,685729,63825,0.093076128,,,0
Alaska,2020,Far West,1,0.027039087,394.6,-0.00605,0.007837981,8173.9,0.09588,0.162359022,1322.6,-0.00828,0.026270941,1335.1,2563.4,6211.4,0.62114,0.123377681,1235.1,-0.00202,0.024532919,1164.4,0.11644,0.023128598,4970.4,-0.015,0.09872757,1718.2,148.9,4259.5,-0.01189,0.084606889,1361.272,50344.6,27039.08662,45366.3,47762,-0.2378,3898.5,0.38985,0.077436309,1867.1,-0.01973,0.037086401,,,,,,,61650,-0.236,2.716666666,4.701952895,,750722,685084,65638,0.095810149,,,0
Alaska,2021,Far West,1,0.021235119,363.6,-0.0031,0.007126366,6900.3,-0.12736,0.135242191,1287.7,-0.00349,0.025238232,1331.3,2447.4,7164.6,0.71646,0.140422329,1504.7,0.02696,0.029491315,1163.7,0.11637,0.022807898,5283.3,0.03129,0.103549855,1867.5,175.7,4495,0.02355,0.088099597,1083.454,51021.8,21235.11911,48207.9,53982,0.622,3778.7,0.37787,0.0740605,2043.2,0.01761,0.040045628,,,,,,,61390,-0.026,-1.875,4.707755776,,706466,640281,66185,0.103368677,,,0
